Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,-0.5,0.0,-0.4859,-0.0008
0.1,-0.5,0.0,-0.5365,0.0002
0.2,-0.5,0.0,-0.4987,0.0
0.3,-0.5,0.0,-0.5021,-0.0
0.4,-0.5,0.0,-0.5018,-0.0
0.5,-0.5,0.0,-0.501,0.0
0.6,-0.5,0.0,-0.5029,0.0001
0.7,-0.5,0.0,-0.5033,0.0
0.8,-0.5,0.0,-0.5034,0.0
0.9,-0.5,0.0,-0.5029,0.0
1.0,-0.5,0.0,-0.5021,-0.0
1.1,-0.5,0.0,-0.5028,-0.0
1.2,-0.5,0.0,-0.5034,-0.0
1.3,-0.5,0.0,-0.5034,-0.0
1.4,-0.5,0.0,-0.5027,-0.0
1.5,-0.5,0.0,-0.5015,-0.0
1.6,-0.5,0.0,-0.5016,0.0
1.7,-0.5,0.0,-0.5017,0.0001
1.8,-0.5,0.0,-0.5037,0.0
1.9,-0.5,0.0,-0.5036,0.0
2.0,-0.5,0.0,-0.5029,0.0
2.1,-0.5,0.0,-0.5021,-0.0
2.2,-0.5,0.0,-0.5028,-0.0
2.3,-0.5,0.0,-0.5034,-0.0
2.4,-0.5,0.0,-0.5035,-0.0
2.5,-0.5,0.0,-0.5027,-0.0
2.6,-0.5,0.0,-0.5015,-0.0
2.7,-0.5,0.0,-0.5017,0.0
2.8,-0.5,0.0,-0.5017,0.0
2.9,-0.5,0.0,-0.5036,0.0
3.0,-0.5,0.0,-0.5036,0.0
3.1,-0.5,0.0,-0.5029,0.0
3.2,-0.5,0.0,-0.5021,-0.0
3.3,-0.5,0.0,-0.5029,-0.0
3.4,-0.5,0.0,-0.5033,-0.0
3.5,-0.5,0.0,-0.5034,-0.0
3.6,-0.5,0.0,-0.5027,-0.0
3.7,-0.5,0.0,-0.5015,0.0
3.8,-0.5,0.0,-0.5017,0.0
3.9,-0.5,0.0,-0.5017,0.0
4.0,-0.5,0.0,-0.5036,0.0
4.1,-0.5,0.0,-0.5034,0.0
4.2,-0.5,0.0,-0.503,0.0
4.3,-0.5,0.0,-0.5022,-0.0
4.4,-0.5,0.0,-0.5029,-0.0
4.5,-0.5,0.0,-0.503,-0.0
4.6,-0.5,0.0,-0.5035,-0.0
4.7,-0.5,0.0,-0.5025,-0.0
4.8,-0.5,0.0,-0.5015,0.0
4.9,-0.5,0.0,-0.5017,0.0
5.0,-0.5,0.0,-0.5018,0.0
5.1,-0.5,0.0,-0.5035,0.0
5.2,-0.5,0.0,-0.5036,0.0
5.3,-0.5,0.0,-0.5029,0.0
5.4,-0.5,0.0,-0.5021,-0.0
5.5,-0.5,0.0,-0.5029,-0.0
5.6,-0.5,0.0,-0.5038,-0.0
5.7,-0.5,0.0,-0.5033,-0.0
5.8,-0.5,0.0,-0.5026,-0.0
5.9,-0.5,0.0,-0.5015,0.0
6.0,-0.5,0.0,-0.5015,0.0
6.1,-0.5,0.0,-0.5037,-0.0
6.2,-0.5,0.0,-0.5028,-0.0
6.3,-0.5,0.0,-0.504,-0.0
6.4,-0.5,0.0,-0.503,0.0
6.5,-0.5,0.0,-0.5022,-0.0
6.6,-0.5,0.0,-0.5041,-0.0
6.7,-0.5,0.0,-0.5015,-0.0
6.8,-0.5,0.0,-0.5037,-0.0
6.9,-0.5,0.0,-0.5022,-0.0
7.0,-0.5,0.0,-0.5012,0.0
7.1,-0.5,0.0,-0.501,0.0
7.2,-0.5,0.0,-0.5033,-0.0
7.3,-0.5,0.0,-0.5033,0.0
7.4,-0.5,0.0,-0.5046,0.0
7.5,-0.5,0.0,-0.504,-0.0
7.6,-0.5,0.0,-0.5017,-0.0
7.7,-0.5,0.0,-0.5031,-0.0
7.8,-0.5,0.0,-0.5011,-0.0
7.9,-0.5,0.0,-0.5032,-0.0
8.0,-0.5,0.0,-0.502,-0.0
8.1,-0.5,0.0,-0.5008,0.0
8.2,-0.5,0.0,-0.5024,0.0001
8.3,-0.5,0.0,-0.5022,0.0001
8.4,-0.5,0.0,-0.5039,0.0
8.5,-0.5,0.0,-0.5046,-0.0
8.6,-0.5,0.0,-0.5027,0.0
8.7,-0.5,0.0,-0.5016,0.0
8.8,-0.5,0.0,-0.5019,0.0001
8.9,-0.5,0.0,-0.5013,0.0001
9.0,-0.5,0.0,-0.5036,0.0
9.1,-0.5,0.0,-0.5031,-0.0
9.2,-0.5,0.0,-0.5021,0.0001
9.3,-0.5,0.0,-0.5022,0.0
9.4,-0.5,0.0,-0.5035,0.0
9.5,-0.5,0.0,-0.5036,-0.0
9.6,-0.5,0.0,-0.5031,-0.0
9.7,-0.5,0.0,-0.5034,-0.0
9.8,-0.5,0.0,-0.5018,0.0
9.9,-0.5,0.0,-0.5023,0.0001
10.0,-0.5,0.0,-0.5017,0.0001
10.1,-0.5,0.0,-0.5033,0.0
