Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.1,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.631630385668954,0.01871816268949695
0.2,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.7219667619727735,0.08326522286830208
0.3,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.8285473502428353,0.028934955022256067
0.4,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.8576326707107286,0.027339395209337213
0.5,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9632200082095059,0.02641487487145589
0.6,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9789260179265085,0.05105634711315117
0.7,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.015173595600672,0.04690659572845217
0.8,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0784956298061947,0.03514086298891034
0.9,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9160995412063493,0.02731692488684345
1.0,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.948639850768308,0.019841822080952615
1.1,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.038972210202129,0.03101269694762563
1.2,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0216468648159072,0.04457945246063495
1.3,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.082072527606609,0.03916491395260894
1.4,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0573099949873863,0.03342764394841627
1.5,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9695242794929324,0.028308638998087415
1.6,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0148068664829843,0.02701225813046348
1.7,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.055834049943127,0.07445330878658579
1.8,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0328448806550907,0.0807923803093423
1.9,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.1075931908664844,0.08098614335535609
2.0,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9859802721297941,0.04743726841020375
2.1,"tensor(0.7826, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.965102443395854,0.06813338531190158
2.2,"tensor(0.7577, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.8627975390337285,0.08395859123066504
2.3,"tensor(-0.4518, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.2670977022644374,0.0075147410669974685
2.4,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.15414308332386897,0.00021778130502385148
2.5,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.25159041981722496,0.08823289692110124
2.6,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.23906952881006757,0.07963820747591017
2.7,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.2777548929199413,0.09220125533043608
2.8,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.29313120010897803,0.1204140493705246
2.9,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.30364039586937447,0.11053818819321241
3.0,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.2847374974433145,0.12097895301725742
3.1,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.29784579810487694,0.09907582251414401
3.2,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.31178333043620565,0.1474076255958653
3.3,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.2968968943509732,0.11035760777718027
3.4,"tensor(-0.5000, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.2956510041627932,0.12597518225252152
3.5,"tensor(-0.3737, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.30351020206570056,0.186478636450575
3.6,"tensor(-0.1871, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",-0.2213009791313171,0.19812775842471045
3.7,"tensor(0.3187, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.03141054539292706,0.13438268784721716
3.8,"tensor(0.7561, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.46577626713027515,0.16631566697531588
3.9,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.7725555058657578,0.21513860402345508
4.0,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9105366677146024,0.26779702601415784
4.1,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9524986242428236,0.2744842961134252
4.2,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9618441930523187,0.30654092628928786
