Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,0.0,-1.5,-0.0962,-0.0322
0.1,0.0,-1.5,-0.0338,-0.0439
0.2,0.0,-1.5,-0.0571,-0.0246
0.3,0.0,-1.5,-0.0013,-0.0319
0.4,0.0,-1.5,-0.0105,-0.0273
0.5,0.0,-1.5,-0.0112,-0.0282
0.6,0.0,-1.5,-0.0202,-0.0329
0.7,0.0,-1.5,0.015,-0.0365
0.8,0.0,-1.5,0.0098,-0.0361
0.9,0.0,-1.5,0.014,-0.0382
1.0,0.0,-1.5,0.0356,-0.0462
1.1,0.0,-1.5,0.0377,-0.0466
1.2,0.0,-1.5,0.0391,-0.0432
1.3,0.0,-1.5,0.0038,-0.0578
1.4,0.0,-1.5,0.0366,-0.061
1.5,0.0,-1.5,0.0318,-0.0577
1.6,0.0,-1.5,0.0131,-0.0623
1.7,0.0,-1.5,0.0067,-0.0763
1.8,0.0,-1.5,0.0236,-0.0841
1.9,0.0,-1.5,0.0315,-0.0813
2.0,0.0,-1.5,0.0349,-0.0886
2.1,0.0,-1.5,0.0272,-0.1027
2.2,0.0,-1.5,0.0339,-0.1104
2.3,0.0,-1.5,0.0304,-0.1128
2.4,0.0,-1.5,0.0501,-0.1302
2.5,0.0,-1.5,0.0175,-0.1371
2.6,0.0,-1.5,0.0228,-0.1462
2.7,0.0,-1.5,0.044,-0.1646
2.8,0.0,-1.5,0.0169,-0.1879
2.9,0.0,-1.5,0.0388,-0.1924
3.0,0.0,-1.5,0.0396,-0.2067
3.1,0.0,-1.5,0.0506,-0.2345
3.2,0.0,-1.5,0.0183,-0.2619
3.3,0.0,-1.5,0.0051,-0.278
3.4,0.0,-1.5,0.0231,-0.2928
3.5,0.0,-1.5,0.0423,-0.3285
3.6,0.0,-1.5,0.0309,-0.3721
3.7,0.0,-1.5,0.0228,-0.4051
3.8,0.0,-1.5,0.0625,-0.4206
3.9,0.0,-1.5,0.0379,-0.4922
4.0,0.0,-1.5,0.0118,-0.5231
4.1,0.0,-1.5,0.0472,-0.5804
4.2,0.0,-1.5,0.0179,-0.5911
4.3,0.0,-1.5,0.0211,-0.6317
4.4,0.0,-1.5,0.0348,-0.6317
4.5,0.0,-1.5,0.0193,-0.6158
4.6,0.0,-1.5,0.0054,-0.604
4.7,0.0,-1.5,0.0103,-0.5516
4.8,0.0,-1.5,-0.0061,-0.4948
4.9,0.0,-1.5,-0.042,-0.4331
5.0,0.0,-1.5,-0.0123,-0.4003
5.1,0.0,-1.5,-0.0234,-0.3704
5.2,0.0,-1.5,-0.0123,-0.3057
5.3,0.0,-1.5,-0.0276,-0.2906
5.4,0.0,-1.5,-0.0221,-0.2629
5.5,0.0,-1.5,-0.0306,-0.2364
5.6,0.0,-1.5,-0.0199,-0.2101
5.7,0.0,-1.5,-0.023,-0.1988
5.8,0.0,-1.5,-0.0307,-0.1814
5.9,0.0,-1.5,-0.0281,-0.1558
6.0,0.0,-1.5,-0.0338,-0.1502
6.1,0.0,-1.5,-0.0146,-0.1329
6.2,0.0,-1.5,-0.0237,-0.1255
6.3,0.0,-1.5,-0.0231,-0.1118
6.4,0.0,-1.5,-0.0141,-0.1054
6.5,0.0,-1.5,-0.035,-0.098
6.6,0.0,-1.5,-0.0312,-0.0869
6.7,0.0,-1.5,-0.0233,-0.0845
6.8,0.0,-1.5,-0.0308,-0.0747
6.9,0.0,-1.5,-0.0195,-0.0719
7.0,0.0,-1.5,-0.0239,-0.0632
7.1,0.0,-1.5,-0.032,-0.0613
7.2,0.0,-1.5,-0.0146,-0.055
7.3,0.0,-1.5,-0.0294,-0.0542
7.4,0.0,-1.5,-0.0274,-0.0451
7.5,0.0,-1.5,-0.016,-0.0425
7.6,0.0,-1.5,0.004,-0.0396
7.7,0.0,-1.5,-0.0062,-0.0382
7.8,0.0,-1.5,-0.0116,-0.0369
7.9,0.0,-1.5,0.0121,-0.0326
8.0,0.0,-1.5,-0.0283,-0.0323
8.1,0.0,-1.5,-0.0176,-0.0268
8.2,0.0,-1.5,-0.0092,-0.0324
8.3,0.0,-1.5,-0.0091,-0.0287
8.4,0.0,-1.5,-0.04,-0.0244
8.5,0.0,-1.5,-0.0061,-0.0244
8.6,0.0,-1.5,-0.0044,-0.0243
8.7,0.0,-1.5,0.0204,-0.0239
8.8,0.0,-1.5,-0.0092,-0.0232
8.9,0.0,-1.5,0.0076,-0.0239
9.0,0.0,-1.5,0.0085,-0.0263
9.1,0.0,-1.5,-0.0111,-0.024
9.2,0.0,-1.5,-0.0055,-0.0259
9.3,0.0,-1.5,0.0167,-0.0284
9.4,0.0,-1.5,0.0054,-0.0259
9.5,0.0,-1.5,0.0242,-0.03
9.6,0.0,-1.5,0.0064,-0.0313
9.7,0.0,-1.5,0.0456,-0.0321
9.8,0.0,-1.5,0.0237,-0.0349
9.9,0.0,-1.5,0.0308,-0.0356
10.0,0.0,-1.5,0.0466,-0.0345
10.1,0.0,-1.5,0.0208,-0.0426
