Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,0.0,1.5,-0.0291,0.2123
0.1,0.0,1.5,-0.0071,0.4886
0.2,0.0,1.5,-0.0066,0.5847
0.3,0.0,1.5,-0.0052,0.612
0.4,0.0,1.5,-0.0064,0.6101
0.5,0.0,1.5,-0.0064,0.6146
0.6,0.0,1.5,-0.0065,0.6153
0.7,0.0,1.5,-0.0065,0.6176
0.8,0.0,1.5,-0.0066,0.6197
0.9,0.0,1.5,-0.0066,0.6183
1.0,0.0,1.5,-0.0064,0.6147
1.1,0.0,1.5,-0.0064,0.6161
1.2,0.0,1.5,-0.0064,0.6176
1.3,0.0,1.5,-0.0064,0.6189
1.4,0.0,1.5,-0.0064,0.6202
1.5,0.0,1.5,-0.0064,0.62
1.6,0.0,1.5,0.0001,0.6042
1.7,0.0,1.5,-0.0064,0.6206
1.8,0.0,1.5,-0.0064,0.6232
1.9,0.0,1.5,-0.0064,0.6239
2.0,0.0,1.5,-0.0063,0.625
2.1,0.0,1.5,-0.0067,0.6261
2.2,0.0,1.5,-0.0023,0.6108
2.3,0.0,1.5,-0.0067,0.6284
2.4,0.0,1.5,-0.0067,0.6274
2.5,0.0,1.5,-0.0066,0.624
2.6,0.0,1.5,-0.0061,0.6188
2.7,0.0,1.5,-0.0061,0.6165
2.8,0.0,1.5,-0.006,0.6176
2.9,0.0,1.5,-0.0063,0.6196
3.0,0.0,1.5,-0.0068,0.6211
3.1,0.0,1.5,-0.0068,0.6231
3.2,0.0,1.5,-0.0068,0.6247
3.3,0.0,1.5,-0.0063,0.6263
3.4,0.0,1.5,-0.0064,0.6268
3.5,0.0,1.5,-0.0,0.6098
3.6,0.0,1.5,-0.0064,0.6264
3.7,0.0,1.5,-0.0001,0.612
3.8,0.0,1.5,-0.007,0.6286
3.9,0.0,1.5,-0.0008,0.6178
4.0,0.0,1.5,-0.0071,0.6308
4.1,0.0,1.5,-0.0016,0.6173
4.2,0.0,1.5,-0.0065,0.6301
4.3,0.0,1.5,-0.0067,0.6263
4.4,0.0,1.5,-0.0046,0.6141
4.5,0.0,1.5,-0.0067,0.6255
4.6,0.0,1.5,-0.0072,0.6252
4.7,0.0,1.5,-0.0048,0.6119
4.8,0.0,1.5,-0.0073,0.6244
4.9,0.0,1.5,-0.0051,0.6102
5.0,0.0,1.5,-0.0072,0.6208
5.1,0.0,1.5,-0.0069,0.6155
5.2,0.0,1.5,-0.0068,0.6259
5.3,0.0,1.5,-0.0068,0.6289
5.4,0.0,1.5,-0.0068,0.632
5.5,0.0,1.5,-0.0016,0.5978
5.6,0.0,1.5,-0.0069,0.631
5.7,0.0,1.5,-0.007,0.6326
5.8,0.0,1.5,-0.0069,0.6334
5.9,0.0,1.5,-0.0069,0.6307
6.0,0.0,1.5,-0.0062,0.6092
6.1,0.0,1.5,-0.0063,0.6218
6.2,0.0,1.5,0.0035,0.6124
6.3,0.0,1.5,-0.0062,0.6126
6.4,0.0,1.5,0.0036,0.611
6.5,0.0,1.5,-0.0063,0.6099
6.6,0.0,1.5,0.0014,0.6116
6.7,0.0,1.5,-0.0063,0.6134
6.8,0.0,1.5,0.0012,0.6026
6.9,0.0,1.5,-0.0061,0.6148
7.0,0.0,1.5,0.001,0.6025
7.1,0.0,1.5,-0.006,0.6167
7.2,0.0,1.5,0.001,0.604
7.3,0.0,1.5,-0.006,0.6162
7.4,0.0,1.5,0.0009,0.6085
7.5,0.0,1.5,-0.0061,0.6203
7.6,0.0,1.5,-0.003,0.6115
7.7,0.0,1.5,-0.0061,0.6138
7.8,0.0,1.5,-0.0032,0.6062
7.9,0.0,1.5,-0.0061,0.6102
8.0,0.0,1.5,-0.0062,0.6184
8.1,0.0,1.5,-0.0063,0.6197
8.2,0.0,1.5,-0.0064,0.6203
8.3,0.0,1.5,-0.0016,0.6027
8.4,0.0,1.5,-0.0065,0.6205
8.5,0.0,1.5,-0.0014,0.6063
8.6,0.0,1.5,-0.0066,0.6231
8.7,0.0,1.5,-0.0004,0.6086
8.8,0.0,1.5,-0.0067,0.6258
8.9,0.0,1.5,-0.002,0.6126
9.0,0.0,1.5,-0.0068,0.6281
9.1,0.0,1.5,-0.0035,0.6167
9.2,0.0,1.5,-0.0069,0.6298
9.3,0.0,1.5,-0.007,0.6247
9.4,0.0,1.5,-0.0058,0.6085
9.5,0.0,1.5,-0.0067,0.6269
9.6,0.0,1.5,-0.0067,0.6272
9.7,0.0,1.5,-0.007,0.6251
9.8,0.0,1.5,-0.007,0.6251
9.9,0.0,1.5,-0.007,0.6247
10.0,0.0,1.5,-0.0017,0.6008
10.1,0.0,1.5,-0.0069,0.6164
