Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,1.0,0.0,0.921,0.0001
0.1,1.0,0.0,1.0047,-0.0247
0.2,1.0,0.0,1.0048,-0.0276
0.3,1.0,0.0,1.0051,-0.0246
0.4,1.0,0.0,1.0013,-0.0271
0.5,1.0,0.0,1.0008,-0.0269
0.6,1.0,0.0,1.0039,-0.0309
0.7,1.0,0.0,1.0063,-0.0272
0.8,1.0,0.0,1.0039,-0.0286
0.9,1.0,0.0,1.0005,-0.032
1.0,1.0,0.0,0.9998,-0.0323
1.1,1.0,0.0,1.0033,-0.0342
1.2,1.0,0.0,1.0035,-0.0279
1.3,1.0,0.0,1.0034,-0.0316
1.4,1.0,0.0,1.0028,-0.028
1.5,1.0,0.0,1.0014,-0.0262
1.6,1.0,0.0,1.0021,-0.0274
1.7,1.0,0.0,1.0045,-0.0336
1.8,1.0,0.0,1.004,-0.031
1.9,1.0,0.0,1.0046,-0.0271
2.0,1.0,0.0,1.0025,-0.024
2.1,1.0,0.0,0.9987,-0.0251
2.2,1.0,0.0,1.0032,-0.0295
2.3,1.0,0.0,1.0032,-0.0221
2.4,1.0,0.0,1.0036,-0.0306
2.5,1.0,0.0,1.0033,-0.0296
2.6,1.0,0.0,1.0011,-0.0289
2.7,1.0,0.0,1.0012,-0.0298
2.8,1.0,0.0,1.0045,-0.0297
2.9,1.0,0.0,1.0035,-0.0351
3.0,1.0,0.0,1.0056,-0.0309
3.1,1.0,0.0,1.0036,-0.0274
3.2,1.0,0.0,0.9974,-0.0314
3.3,1.0,0.0,1.0026,-0.0369
3.4,1.0,0.0,1.003,-0.0275
3.5,1.0,0.0,1.0035,-0.0331
3.6,1.0,0.0,1.0048,-0.0274
3.7,1.0,0.0,1.0003,-0.0361
3.8,1.0,0.0,1.0008,-0.0375
3.9,1.0,0.0,1.0035,-0.039
4.0,1.0,0.0,1.0045,-0.0328
4.1,1.0,0.0,1.0024,-0.043
4.2,1.0,0.0,1.0052,-0.0346
4.3,1.0,0.0,0.9975,-0.0374
4.4,1.0,0.0,1.0019,-0.0427
4.5,1.0,0.0,1.0028,-0.0338
4.6,1.0,0.0,1.0042,-0.0382
4.7,1.0,0.0,1.0016,-0.042
4.8,1.0,0.0,1.0026,-0.0379
4.9,1.0,0.0,0.9985,-0.0407
5.0,1.0,0.0,1.0035,-0.0437
5.1,1.0,0.0,1.0022,-0.0398
5.2,1.0,0.0,1.0016,-0.0452
5.3,1.0,0.0,1.0051,-0.0335
5.4,1.0,0.0,0.9981,-0.0372
5.5,1.0,0.0,0.9999,-0.0411
5.6,1.0,0.0,0.9999,-0.0355
5.7,1.0,0.0,1.0024,-0.0398
5.8,1.0,0.0,1.002,-0.0392
5.9,1.0,0.0,1.0049,-0.0299
6.0,1.0,0.0,1.0016,-0.0308
6.1,1.0,0.0,1.0024,-0.0355
6.2,1.0,0.0,1.0006,-0.0322
6.3,1.0,0.0,1.0032,-0.0275
6.4,1.0,0.0,0.9979,-0.0231
6.5,1.0,0.0,1.0004,-0.0187
6.6,1.0,0.0,1.0032,-0.0173
6.7,1.0,0.0,1.0022,-0.0386
6.8,1.0,0.0,1.0019,-0.0326
6.9,1.0,0.0,1.0044,-0.0324
7.0,1.0,0.0,1.005,-0.0314
7.1,1.0,0.0,0.9984,-0.035
7.2,1.0,0.0,1.0008,-0.0314
7.3,1.0,0.0,0.999,-0.0257
7.4,1.0,0.0,1.0022,-0.0225
7.5,1.0,0.0,1.0041,-0.0187
7.6,1.0,0.0,1.0012,-0.0208
7.7,1.0,0.0,1.0019,-0.0225
7.8,1.0,0.0,1.0034,-0.0192
7.9,1.0,0.0,1.0001,-0.0179
8.0,1.0,0.0,1.0014,-0.0173
8.1,1.0,0.0,1.0039,-0.0212
8.2,1.0,0.0,1.0012,-0.0198
8.3,1.0,0.0,1.0036,-0.0179
8.4,1.0,0.0,1.0048,-0.0192
8.5,1.0,0.0,1.0013,-0.023
8.6,1.0,0.0,1.0031,-0.0243
8.7,1.0,0.0,1.0033,-0.0203
8.8,1.0,0.0,1.0013,-0.0221
8.9,1.0,0.0,1.0037,-0.0182
9.0,1.0,0.0,0.9994,-0.0214
9.1,1.0,0.0,1.0018,-0.0209
9.2,1.0,0.0,1.0038,-0.0228
9.3,1.0,0.0,1.0035,-0.0198
9.4,1.0,0.0,1.0021,-0.0198
9.5,1.0,0.0,1.0028,-0.0253
9.6,1.0,0.0,1.0006,-0.0281
9.7,1.0,0.0,1.003,-0.0272
9.8,1.0,0.0,1.0046,-0.0266
9.9,1.0,0.0,1.0001,-0.0226
10.0,1.0,0.0,1.0027,-0.0237
10.1,1.0,0.0,1.005,-0.0206
