Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,0.0,1.5,0.0375,0.0664
0.1,0.0,1.5,-0.0089,0.0373
0.2,0.0,1.5,0.0152,0.0343
0.3,0.0,1.5,0.0177,0.0316
0.4,0.0,1.5,0.0141,0.0369
0.5,0.0,1.5,0.0346,0.0365
0.6,0.0,1.5,0.0096,0.0442
0.7,0.0,1.5,0.0144,0.0441
0.8,0.0,1.5,0.0254,0.0448
0.9,0.0,1.5,0.0248,0.0478
1.0,0.0,1.5,0.0173,0.053
1.1,0.0,1.5,0.045,0.0632
1.2,0.0,1.5,0.05,0.0635
1.3,0.0,1.5,0.056,0.0664
1.4,0.0,1.5,0.0409,0.0749
1.5,0.0,1.5,0.0459,0.0783
1.6,0.0,1.5,0.0101,0.0964
1.7,0.0,1.5,0.0247,0.0974
1.8,0.0,1.5,0.0155,0.1007
1.9,0.0,1.5,0.0193,0.1204
2.0,0.0,1.5,0.0242,0.1194
2.1,0.0,1.5,0.0319,0.1444
2.2,0.0,1.5,0.032,0.1549
2.3,0.0,1.5,0.0208,0.1783
2.4,0.0,1.5,0.0419,0.1822
2.5,0.0,1.5,0.0148,0.1992
2.6,0.0,1.5,0.0206,0.2271
2.7,0.0,1.5,0.0377,0.2402
2.8,0.0,1.5,0.022,0.267
2.9,0.0,1.5,0.0326,0.297
3.0,0.0,1.5,0.0141,0.3255
3.1,0.0,1.5,0.0308,0.3668
3.2,0.0,1.5,0.0288,0.3872
3.3,0.0,1.5,-0.0102,0.456
3.4,0.0,1.5,0.0006,0.4819
3.5,0.0,1.5,0.0215,0.5425
3.6,0.0,1.5,0.0003,0.6014
3.7,0.0,1.5,-0.0203,0.646
3.8,0.0,1.5,-0.0132,0.6941
3.9,0.0,1.5,0.009,0.6988
4.0,0.0,1.5,0.0046,0.7071
4.1,0.0,1.5,-0.0148,0.6571
4.2,0.0,1.5,0.0211,0.6119
4.3,0.0,1.5,-0.0081,0.5554
4.4,0.0,1.5,-0.0194,0.4835
4.5,0.0,1.5,-0.0065,0.4306
4.6,0.0,1.5,-0.014,0.3692
4.7,0.0,1.5,-0.0461,0.3348
4.8,0.0,1.5,-0.0238,0.2926
4.9,0.0,1.5,-0.0457,0.2627
5.0,0.0,1.5,-0.0242,0.236
5.1,0.0,1.5,-0.0387,0.2208
5.2,0.0,1.5,-0.0343,0.1981
5.3,0.0,1.5,-0.0214,0.1738
5.4,0.0,1.5,-0.0245,0.1637
5.5,0.0,1.5,-0.0374,0.1436
5.6,0.0,1.5,-0.0312,0.1268
5.7,0.0,1.5,-0.0609,0.1187
5.8,0.0,1.5,-0.0369,0.1047
5.9,0.0,1.5,-0.0567,0.0993
6.0,0.0,1.5,-0.0506,0.0882
6.1,0.0,1.5,-0.0551,0.0844
6.2,0.0,1.5,-0.0346,0.0743
6.3,0.0,1.5,-0.046,0.0671
6.4,0.0,1.5,-0.0561,0.0642
6.5,0.0,1.5,-0.0342,0.0623
6.6,0.0,1.5,-0.0264,0.0526
6.7,0.0,1.5,-0.0258,0.047
6.8,0.0,1.5,-0.0073,0.0455
6.9,0.0,1.5,-0.0239,0.0408
7.0,0.0,1.5,-0.0444,0.0388
7.1,0.0,1.5,-0.028,0.0394
7.2,0.0,1.5,-0.0351,0.032
7.3,0.0,1.5,-0.0362,0.0323
7.4,0.0,1.5,-0.0162,0.0294
7.5,0.0,1.5,-0.0032,0.0298
7.6,0.0,1.5,-0.0057,0.0277
7.7,0.0,1.5,-0.0029,0.0253
7.8,0.0,1.5,0.0122,0.0291
7.9,0.0,1.5,0.0042,0.0257
8.0,0.0,1.5,0.0306,0.0278
8.1,0.0,1.5,0.0044,0.0277
8.2,0.0,1.5,0.0089,0.027
8.3,0.0,1.5,-0.0229,0.0324
8.4,0.0,1.5,0.0169,0.0289
8.5,0.0,1.5,-0.0188,0.0343
8.6,0.0,1.5,-0.0331,0.0329
8.7,0.0,1.5,-0.0194,0.0359
8.8,0.0,1.5,0.0041,0.0385
8.9,0.0,1.5,0.02,0.0349
9.0,0.0,1.5,0.025,0.0453
9.1,0.0,1.5,0.0193,0.0432
9.2,0.0,1.5,0.038,0.0481
9.3,0.0,1.5,0.0122,0.0563
9.4,0.0,1.5,0.0483,0.055
9.5,0.0,1.5,0.0174,0.069
9.6,0.0,1.5,0.0491,0.0666
9.7,0.0,1.5,0.0275,0.0771
9.8,0.0,1.5,0.0259,0.0847
9.9,0.0,1.5,0.002,0.0906
10.0,0.0,1.5,-0.0185,0.1047
10.1,0.0,1.5,-0.0004,0.0962
