Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,-0.3,0.57,-0.1596,0.0119
0.1,0.71,-0.22,0.5002,0.0027
0.2,-0.5,1.5,-0.176,0.0251
0.3,0.45,-0.07,0.4532,-0.0011
0.4,1.0,0.25,0.9839,0.0048
0.5,-0.5,0.27,0.1115,-0.0068
0.6,-0.5,0.86,-0.4162,0.0152
0.7,1.0,-0.75,0.3941,0.013
0.8,0.09,-1.5,0.2515,-0.0256
0.9,-0.35,-0.22,-0.3392,-0.0033
1.0,-0.12,0.5,-0.1747,0.0087
1.1,-0.21,0.73,-0.2041,0.0097
1.2,-0.25,-0.29,-0.2458,-0.0052
1.3,-0.5,-1.5,-0.3136,-0.0295
1.4,1.0,-1.5,0.5468,0.0021
1.5,-0.26,-0.49,-0.1662,-0.0155
1.6,0.77,-1.5,0.4639,-0.0307
1.7,1.0,-0.07,1.01,-0.0004
1.8,-0.5,-0.85,0.1444,-0.0074
1.9,0.07,1.5,0.1182,0.0271
2.0,-0.5,-0.38,-0.4607,-0.0074
2.1,1.0,-0.37,0.4011,0.0076
2.2,0.66,-0.0,0.6695,-0.0002
2.3,0.49,0.46,0.5362,0.0058
2.4,-0.21,-0.43,-0.1324,-0.0046
2.5,-0.5,1.45,-0.2951,0.0208
2.6,-0.5,1.19,-0.3537,0.0145
2.7,0.79,-1.26,0.4919,-0.0005
2.8,0.54,-1.5,0.5208,-0.0317
2.9,-0.28,0.93,-0.1047,0.0164
3.0,0.23,0.73,0.135,0.0106
3.1,-0.38,-0.49,-0.311,-0.0068
3.2,-0.5,-0.11,-0.5092,-0.002
3.3,-0.46,-0.31,-0.451,-0.0054
3.4,0.27,-0.99,0.1063,-0.0128
3.5,-0.5,-0.24,-0.4845,-0.0075
3.6,1.0,-0.87,0.3656,0.002
3.7,-0.5,-0.32,-0.4257,-0.0215
3.8,0.04,0.06,0.0407,0.001
3.9,-0.05,0.86,-0.0372,0.0141
4.0,0.03,-0.5,-0.0062,-0.0077
4.1,-0.35,-1.5,-0.1281,-0.0172
4.2,-0.5,1.26,-0.3301,0.0141
4.3,-0.5,0.06,-0.5044,0.0008
4.4,0.83,-0.57,0.3543,-0.0006
4.5,-0.5,-1.2,-0.236,-0.0121
4.6,0.55,-1.5,0.266,-0.0204
4.7,-0.28,0.34,-0.2659,0.0059
4.8,-0.39,-1.3,-0.3008,-0.025
4.9,-0.5,0.52,-0.4472,0.0097
5.0,-0.5,1.32,-0.4521,0.022
5.1,-0.18,-0.7,-0.2468,-0.0119
5.2,0.65,0.06,0.621,0.0007
5.3,-0.5,0.67,-0.2607,0.0047
5.4,1.0,0.23,0.6381,0.0018
5.5,-0.5,-1.04,-0.2232,-0.0018
5.6,0.66,0.72,0.5116,0.0126
5.7,0.17,-1.23,0.3853,-0.0106
5.8,-0.09,1.5,0.096,0.0247
5.9,0.69,-0.8,0.5381,-0.0035
6.0,0.53,0.47,0.5385,0.0093
6.1,1.0,0.8,0.9212,0.0166
6.2,-0.5,1.5,0.0395,0.0086
6.3,-0.5,-0.42,-0.4637,-0.0056
6.4,0.77,0.39,0.3816,-0.0002
6.5,-0.22,1.5,0.0518,0.0268
6.6,0.35,0.55,0.2918,0.0093
6.7,1.0,0.78,0.8699,0.006
6.8,0.48,-0.39,0.5166,-0.0059
6.9,-0.5,0.69,-0.3264,0.0069
7.0,1.0,-0.41,0.5117,0.0052
7.1,0.82,0.99,0.7148,0.0146
7.2,-0.5,1.48,-0.1172,0.0196
7.3,0.06,0.98,-0.0482,0.0139
7.4,0.11,0.34,0.0767,0.0064
7.5,0.83,1.43,0.5605,0.0075
7.6,0.16,0.89,0.2946,0.0082
7.7,-0.03,-1.33,0.1605,-0.0192
7.8,-0.5,-0.39,-0.4606,-0.0151
7.9,-0.44,0.47,-0.4476,0.0077
8.0,-0.5,0.77,-0.5079,0.0116
8.1,1.0,0.34,0.3691,0.0074
8.2,-0.5,0.05,-0.4858,0.0015
8.3,-0.5,-1.02,-0.4839,-0.0182
8.4,-0.5,0.43,-0.4615,0.005
8.5,-0.08,1.5,-0.3271,0.012
8.6,-0.5,-0.91,-0.3862,-0.0155
8.7,0.49,1.15,0.2656,0.0137
8.8,0.38,0.19,0.3919,0.0027
8.9,-0.5,-0.55,-0.3763,-0.0022
9.0,-0.5,-0.59,-0.4681,-0.0087
9.1,-0.5,-0.7,-0.5129,-0.0132
9.2,0.72,-1.34,0.3044,-0.0052
9.3,1.0,0.62,0.9183,0.0066
9.4,0.09,1.5,0.3944,0.019
9.5,-0.5,0.12,-0.456,0.0015
9.6,1.0,0.57,0.4244,0.0067
9.7,0.17,-1.34,0.356,-0.0234
9.8,-0.5,-0.34,-0.4274,-0.0029
9.9,1.0,-0.55,0.4393,0.0077
10.0,-0.5,0.65,-0.3526,0.0171
10.1,-0.5,-1.03,-0.4152,-0.0122
