Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,-0.3,0.57,-0.299,0.1056
0.1,0.72,-0.22,0.3227,0.1287
0.2,-0.5,1.5,-0.5079,0.221
0.3,0.46,-0.07,0.249,0.2609
0.4,1.0,0.24,1.002,0.2966
0.5,-0.5,0.25,0.427,0.2605
0.6,-0.5,0.83,-0.3327,0.2466
0.7,1.0,-0.77,0.3613,0.2623
0.8,0.08,-1.5,0.129,0.1211
0.9,-0.35,-0.25,-0.3374,0.0628
1.0,-0.13,0.47,-0.13,0.1685
1.1,-0.21,0.7,-0.2183,0.2813
1.2,-0.25,-0.33,-0.2611,0.0156
1.3,-0.5,-1.5,-0.4595,-0.1986
1.4,1.0,-1.5,0.3927,-0.1528
1.5,-0.26,-0.51,-0.2359,-0.157
1.6,0.77,-1.5,0.4992,-0.1765
1.7,1.0,-0.09,1.0028,-0.1024
1.8,-0.5,-0.88,0.2468,-0.0763
1.9,0.07,1.5,0.0537,0.1157
2.0,-0.5,-0.41,-0.5155,0.0419
2.1,1.0,-0.39,0.3571,0.0852
2.2,0.65,-0.03,0.6571,-0.0059
2.3,0.49,0.44,0.4908,0.0884
2.4,-0.21,-0.45,-0.1216,0.0903
2.5,-0.5,1.42,-0.5283,0.2522
2.6,-0.5,1.16,-0.4973,0.397
2.7,0.79,-1.3,0.1134,0.3603
2.8,0.55,-1.5,0.5541,0.1899
2.9,-0.28,0.88,-0.0738,0.1645
3.0,0.22,0.68,0.2207,0.2515
3.1,-0.39,-0.54,-0.356,0.1337
3.2,-0.5,-0.16,-0.4938,0.0165
3.3,-0.46,-0.36,-0.4619,-0.1225
3.4,0.27,-1.03,0.2364,-0.1462
3.5,-0.5,-0.28,-0.4999,-0.1307
3.6,1.0,-0.91,0.2904,-0.0686
3.7,-0.5,-0.35,-0.4846,-0.0734
3.8,0.05,0.02,0.0467,-0.0089
3.9,-0.05,0.82,-0.058,0.2942
4.0,0.03,-0.55,0.0487,-0.0596
4.1,-0.35,-1.5,-0.3148,-0.2522
4.2,-0.5,1.23,-0.4812,0.0603
4.3,-0.5,0.02,-0.501,0.0411
4.4,0.83,-0.62,0.0956,0.1135
4.5,-0.5,-1.24,-0.4113,0.1605
4.6,0.56,-1.5,0.3657,0.2423
4.7,-0.28,0.28,-0.2694,0.2189
4.8,-0.4,-1.36,-0.431,-0.1577
4.9,-0.5,0.47,-0.4938,0.1207
5.0,-0.5,1.27,-0.4834,0.3495
5.1,-0.17,-0.76,-0.17,0.0314
5.2,0.66,0.0,0.5185,0.018
5.3,-0.5,0.61,-0.2908,0.0107
5.4,1.0,0.17,0.4988,-0.0285
5.5,-0.5,-1.09,-0.1791,-0.0039
5.6,0.67,0.66,0.6169,0.0223
5.7,0.17,-1.29,0.2032,-0.207
5.8,-0.08,1.5,-0.0438,0.056
5.9,0.69,-0.85,0.6764,0.0671
6.0,0.53,0.41,0.532,0.1529
6.1,1.0,0.74,0.9946,0.1867
6.2,-0.5,1.5,0.0991,0.0761
6.3,-0.5,-0.48,-0.5199,0.0402
6.4,0.77,0.33,0.0032,0.058
6.5,-0.2,1.5,-0.1591,0.2189
6.6,0.36,0.49,0.3558,0.1945
6.7,1.0,0.71,0.9946,0.1942
6.8,0.49,-0.46,0.471,-0.0184
6.9,-0.5,0.62,-0.1486,0.0398
7.0,1.0,-0.49,0.5704,0.0729
7.1,0.83,0.92,0.8507,0.2055
7.2,-0.5,1.4,0.1156,0.1461
7.3,0.07,0.9,0.0693,0.3529
7.4,0.12,0.26,0.1156,0.1266
7.5,0.85,1.35,0.8032,0.0928
7.6,0.17,0.81,0.181,0.127
7.7,-0.0,-1.4,0.0454,-0.1496
7.8,-0.5,-0.46,-0.5002,-0.1708
7.9,-0.41,0.39,-0.415,0.142
8.0,-0.5,0.69,-0.5053,0.2796
8.1,1.0,0.26,0.3285,0.3306
8.2,-0.5,-0.04,-0.4075,0.3961
8.3,-0.5,-1.12,-0.4691,-0.0081
8.4,-0.5,0.35,-0.5023,0.1476
8.5,-0.05,1.5,-0.0834,0.3186
8.6,-0.5,-1.01,-0.5241,0.01
8.7,0.53,1.06,0.3349,-0.0406
8.8,0.41,0.1,0.4127,0.0282
8.9,-0.5,-0.63,-0.4566,0.0712
9.0,-0.5,-0.67,-0.4927,-0.2121
9.1,-0.5,-0.78,-0.4996,-0.3011
9.2,0.75,-1.42,0.398,-0.3134
9.3,1.0,0.54,0.9475,-0.2909
9.4,0.12,1.5,0.2249,-0.2946
9.5,-0.5,0.05,-0.2673,-0.2674
9.6,1.0,0.5,0.5227,-0.24
9.7,0.19,-1.41,0.1974,-0.3469
9.8,-0.5,-0.4,-0.5125,-0.2948
9.9,1.0,-0.61,0.0359,-0.3147
10.0,-0.5,0.6,-0.4775,-0.1888
10.1,-0.5,-1.09,-0.5053,-0.4091
