Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,0.0,-1.5,-0.0697,-0.0634
0.1,0.0,-1.5,-0.0299,-0.0861
0.2,0.0,-1.5,-0.0349,-0.0804
0.3,0.0,-1.5,-0.0347,-0.0975
0.4,0.0,-1.5,-0.0242,-0.0918
0.5,0.0,-1.5,-0.0087,-0.1234
0.6,0.0,-1.5,0.01,-0.1577
0.7,0.0,-1.5,0.0154,-0.1714
0.8,0.0,-1.5,0.0085,-0.2311
0.9,0.0,-1.5,0.0282,-0.2396
1.0,0.0,-1.5,0.0271,-0.3313
1.1,0.0,-1.5,0.0388,-0.3916
1.2,0.0,-1.5,0.0431,-0.4809
1.3,0.0,-1.5,0.0305,-0.5964
1.4,0.0,-1.5,0.0434,-0.6726
1.5,0.0,-1.5,0.0077,-0.8546
1.6,0.0,-1.5,0.0485,-1.0142
1.7,0.0,-1.5,0.0121,-1.1865
1.8,0.0,-1.5,0.0136,-1.3784
1.9,0.0,-1.5,0.0105,-1.4675
2.0,0.0,-1.5,-0.0159,-1.4221
2.1,0.0,-1.5,0.0102,-1.156
2.2,0.0,-1.5,-0.0254,-0.8581
2.3,0.0,-1.5,-0.0139,-0.5866
2.4,0.0,-1.5,-0.0266,-0.4191
2.5,0.0,-1.5,-0.0217,-0.3096
2.6,0.0,-1.5,-0.0368,-0.2531
2.7,0.0,-1.5,-0.0442,-0.1894
2.8,0.0,-1.5,-0.0343,-0.1644
2.9,0.0,-1.5,-0.0646,-0.1311
3.0,0.0,-1.5,-0.0394,-0.1216
3.1,0.0,-1.5,-0.0345,-0.0836
3.2,0.0,-1.5,-0.0484,-0.0753
3.3,0.0,-1.5,-0.0427,-0.0697
3.4,0.0,-1.5,-0.0381,-0.0637
3.5,0.0,-1.5,-0.0114,-0.0608
3.6,0.0,-1.5,-0.0364,-0.0603
3.7,0.0,-1.5,0.0083,-0.0591
3.8,0.0,-1.5,-0.0098,-0.0858
3.9,0.0,-1.5,-0.0107,-0.0861
4.0,0.0,-1.5,0.003,-0.1029
4.1,0.0,-1.5,-0.0256,-0.111
4.2,0.0,-1.5,0.0081,-0.1365
4.3,0.0,-1.5,-0.0033,-0.1845
4.4,0.0,-1.5,0.0309,-0.1982
4.5,0.0,-1.5,0.03,-0.2512
4.6,0.0,-1.5,0.024,-0.2892
4.7,0.0,-1.5,0.0475,-0.3658
4.8,0.0,-1.5,0.0322,-0.4509
4.9,0.0,-1.5,0.0403,-0.5307
5.0,0.0,-1.5,0.0295,-0.6791
5.1,0.0,-1.5,0.0576,-0.7762
5.2,0.0,-1.5,0.0241,-0.9718
5.3,0.0,-1.5,0.0278,-1.1067
5.4,0.0,-1.5,0.0358,-1.2981
5.5,0.0,-1.5,0.0045,-1.4577
5.6,0.0,-1.5,0.0101,-1.4304
5.7,0.0,-1.5,0.0158,-1.2791
5.8,0.0,-1.5,0.0079,-0.9511
5.9,0.0,-1.5,-0.0127,-0.6832
6.0,0.0,-1.5,-0.0513,-0.481
6.1,0.0,-1.5,-0.0441,-0.359
6.2,0.0,-1.5,-0.0593,-0.2722
6.3,0.0,-1.5,-0.0449,-0.2106
6.4,0.0,-1.5,-0.0643,-0.1733
6.5,0.0,-1.5,-0.0617,-0.1507
6.6,0.0,-1.5,-0.0437,-0.1266
6.7,0.0,-1.5,-0.0483,-0.0974
6.8,0.0,-1.5,-0.0088,-0.0785
6.9,0.0,-1.5,-0.0328,-0.0723
7.0,0.0,-1.5,-0.0244,-0.0663
7.1,0.0,-1.5,-0.0352,-0.0682
7.2,0.0,-1.5,-0.0172,-0.0532
7.3,0.0,-1.5,-0.0109,-0.0711
7.4,0.0,-1.5,-0.0232,-0.0652
7.5,0.0,-1.5,0.0083,-0.0833
7.6,0.0,-1.5,0.0078,-0.0924
7.7,0.0,-1.5,0.0269,-0.104
7.8,0.0,-1.5,0.0085,-0.1381
7.9,0.0,-1.5,0.0207,-0.1441
8.0,0.0,-1.5,0.03,-0.1996
8.1,0.0,-1.5,0.0083,-0.221
8.2,0.0,-1.5,0.0248,-0.2774
8.3,0.0,-1.5,0.0252,-0.3313
8.4,0.0,-1.5,0.0589,-0.3954
8.5,0.0,-1.5,0.0408,-0.5166
8.6,0.0,-1.5,0.0578,-0.595
8.7,0.0,-1.5,0.053,-0.7431
8.8,0.0,-1.5,0.0447,-0.867
8.9,0.0,-1.5,0.083,-1.0228
9.0,0.0,-1.5,0.0412,-1.2411
9.1,0.0,-1.5,0.028,-1.3759
9.2,0.0,-1.5,-0.004,-1.474
9.3,0.0,-1.5,0.0156,-1.3797
9.4,0.0,-1.5,0.0083,-1.1236
9.5,0.0,-1.5,-0.0084,-0.8174
9.6,0.0,-1.5,-0.0317,-0.5376
9.7,0.0,-1.5,-0.0554,-0.3981
9.8,0.0,-1.5,-0.0448,-0.3082
9.9,0.0,-1.5,-0.07,-0.2367
10.0,0.0,-1.5,-0.0653,-0.1831
10.1,0.0,-1.5,-0.0874,-0.1506
