Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,0.0,1.5,0.0596,0.0625
0.1,0.0,1.5,0.08,0.0678
0.2,0.0,1.5,0.0179,0.0785
0.3,0.0,1.5,0.0379,0.0834
0.4,0.0,1.5,0.0117,0.0894
0.5,0.0,1.5,0.0421,0.1223
0.6,0.0,1.5,0.0478,0.1387
0.7,0.0,1.5,0.0404,0.1736
0.8,0.0,1.5,0.0545,0.196
0.9,0.0,1.5,0.0543,0.2425
1.0,0.0,1.5,0.043,0.3038
1.1,0.0,1.5,0.0461,0.3618
1.2,0.0,1.5,0.0469,0.4479
1.3,0.0,1.5,0.0386,0.5353
1.4,0.0,1.5,0.0613,0.6341
1.5,0.0,1.5,0.0548,0.7878
1.6,0.0,1.5,0.0439,0.9317
1.7,0.0,1.5,0.0501,1.1174
1.8,0.0,1.5,0.053,1.2921
1.9,0.0,1.5,0.014,1.4781
2.0,0.0,1.5,0.0097,1.4431
2.1,0.0,1.5,-0.0476,1.3038
2.2,0.0,1.5,-0.0258,0.9814
2.3,0.0,1.5,-0.0419,0.6992
2.4,0.0,1.5,-0.0426,0.4766
2.5,0.0,1.5,-0.056,0.3636
2.6,0.0,1.5,-0.0476,0.273
2.7,0.0,1.5,-0.0509,0.219
2.8,0.0,1.5,-0.0768,0.1732
2.9,0.0,1.5,-0.0528,0.14
3.0,0.0,1.5,-0.086,0.1243
3.1,0.0,1.5,-0.0626,0.0966
3.2,0.0,1.5,-0.059,0.0814
3.3,0.0,1.5,-0.0551,0.0611
3.4,0.0,1.5,-0.018,0.0685
3.5,0.0,1.5,-0.043,0.0632
3.6,0.0,1.5,-0.0169,0.066
3.7,0.0,1.5,-0.0177,0.0722
3.8,0.0,1.5,-0.0179,0.0768
3.9,0.0,1.5,-0.0154,0.0839
4.0,0.0,1.5,-0.001,0.1015
4.1,0.0,1.5,0.0036,0.0943
4.2,0.0,1.5,-0.0179,0.1363
4.3,0.0,1.5,0.0231,0.177
4.4,0.0,1.5,-0.0029,0.2175
4.5,0.0,1.5,0.0333,0.2497
4.6,0.0,1.5,0.0114,0.3057
4.7,0.0,1.5,0.0288,0.3706
4.8,0.0,1.5,0.0142,0.4159
4.9,0.0,1.5,0.0308,0.5541
5.0,0.0,1.5,0.0595,0.6508
5.1,0.0,1.5,0.0161,0.778
5.2,0.0,1.5,0.0544,0.9598
5.3,0.0,1.5,0.0131,1.127
5.4,0.0,1.5,0.0244,1.3465
5.5,0.0,1.5,0.0033,1.4807
5.6,0.0,1.5,-0.0097,1.4878
5.7,0.0,1.5,0.0023,1.2807
5.8,0.0,1.5,-0.0255,1.0132
5.9,0.0,1.5,-0.0578,0.6465
6.0,0.0,1.5,-0.0226,0.4535
6.1,0.0,1.5,-0.0538,0.3254
6.2,0.0,1.5,-0.047,0.273
6.3,0.0,1.5,-0.0755,0.2129
6.4,0.0,1.5,-0.0564,0.1587
6.5,0.0,1.5,-0.054,0.1446
6.6,0.0,1.5,-0.0557,0.1157
6.7,0.0,1.5,-0.0583,0.09
6.8,0.0,1.5,-0.0602,0.0742
6.9,0.0,1.5,-0.0196,0.0624
7.0,0.0,1.5,-0.022,0.0703
7.1,0.0,1.5,-0.0271,0.0564
7.2,0.0,1.5,-0.028,0.0681
7.3,0.0,1.5,-0.0174,0.0735
7.4,0.0,1.5,0.0026,0.0764
7.5,0.0,1.5,0.0062,0.098
7.6,0.0,1.5,0.0184,0.1094
7.7,0.0,1.5,0.0053,0.1299
7.8,0.0,1.5,0.0159,0.1548
7.9,0.0,1.5,0.019,0.1961
8.0,0.0,1.5,0.0309,0.2313
8.1,0.0,1.5,0.0381,0.2768
8.2,0.0,1.5,0.0312,0.333
8.3,0.0,1.5,0.0253,0.3925
8.4,0.0,1.5,0.0395,0.5127
8.5,0.0,1.5,0.0209,0.5826
8.6,0.0,1.5,0.0638,0.7186
8.7,0.0,1.5,0.0219,0.8702
8.8,0.0,1.5,0.0137,1.0085
8.9,0.0,1.5,-0.004,1.239
9.0,0.0,1.5,-0.0032,1.4089
9.1,0.0,1.5,0.0171,1.5106
9.2,0.0,1.5,-0.0009,1.3668
9.3,0.0,1.5,-0.0339,1.132
9.4,0.0,1.5,-0.0285,0.7983
9.5,0.0,1.5,-0.0238,0.5422
9.6,0.0,1.5,-0.0491,0.4072
9.7,0.0,1.5,-0.053,0.3118
9.8,0.0,1.5,-0.0688,0.2508
9.9,0.0,1.5,-0.0672,0.1888
10.0,0.0,1.5,-0.0593,0.1541
10.1,0.0,1.5,-0.0618,0.1167
