Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,1.0,0.0,0.8757,0.006
0.1,1.0,0.0,1.0396,0.0024
0.2,1.0,0.0,1.0021,-0.0
0.3,1.0,0.0,1.0058,0.0001
0.4,1.0,0.0,1.0051,0.0001
0.5,1.0,0.0,1.0043,-0.0001
0.6,1.0,0.0,1.0058,-0.0001
0.7,1.0,0.0,1.0028,-0.0001
0.8,1.0,0.0,1.0074,0.0001
0.9,1.0,0.0,1.0074,0.0001
1.0,1.0,0.0,1.0021,-0.0
1.1,1.0,0.0,1.0073,-0.0
1.2,1.0,0.0,1.0063,-0.0001
1.3,1.0,0.0,1.0049,0.0001
1.4,1.0,0.0,1.0084,0.0001
1.5,1.0,0.0,1.0059,0.0001
1.6,1.0,0.0,1.0047,-0.0001
1.7,1.0,0.0,1.0051,0.0
1.8,1.0,0.0,1.0047,0.0001
1.9,1.0,0.0,1.0032,-0.0
2.0,1.0,0.0,1.0064,-0.0
2.1,1.0,0.0,0.9995,0.0001
2.2,1.0,0.0,1.0093,0.0
2.3,1.0,0.0,1.0073,0.0001
2.4,1.0,0.0,1.0074,0.0
2.5,1.0,0.0,1.0092,-0.0
2.6,1.0,0.0,1.0068,0.0
2.7,1.0,0.0,1.0057,0.0
2.8,1.0,0.0,1.0068,0.0
2.9,1.0,0.0,1.0028,0.0
3.0,1.0,0.0,1.0043,-0.0
3.1,1.0,0.0,1.0025,-0.0
3.2,1.0,0.0,1.0003,0.0
3.3,1.0,0.0,1.0086,0.0
3.4,1.0,0.0,1.0082,0.0001
3.5,1.0,0.0,1.0059,0.0001
3.6,1.0,0.0,1.0093,-0.0
3.7,1.0,0.0,1.0064,-0.0
3.8,1.0,0.0,1.0047,0.0
3.9,1.0,0.0,1.0072,0.0001
4.0,1.0,0.0,1.004,0.0001
4.1,1.0,0.0,1.0037,-0.0001
4.2,1.0,0.0,1.0035,-0.0001
4.3,1.0,0.0,1.0003,0.0001
4.4,1.0,0.0,1.0078,0.0001
4.5,1.0,0.0,1.0085,0.0001
4.6,1.0,0.0,1.005,0.0
4.7,1.0,0.0,1.0094,-0.0
4.8,1.0,0.0,1.0069,-0.0
4.9,1.0,0.0,1.0045,0.0
5.0,1.0,0.0,1.0072,0.0001
