seed,policy,steps,total_reward,valid_scenario,titan_success,spot_success,team_success,titan_failed,spot_failed,titan_wall_collision,spot_wall_collision,titan_robot_collision,spot_robot_collision,titan_tipped,spot_tipped
0,ppo,131,30.501553874286117,True,False,False,False,True,True,True,False,False,False,True,False
0,depth4_e,97,71.78271545616192,True,False,False,False,True,True,True,False,False,False,True,False
0,depth6_e,48,49.59566923448541,True,False,False,False,True,True,True,False,False,False,False,False
0,high_fidelity_e,45,46.800100112338335,True,False,False,False,True,True,True,False,False,False,False,False
1,ppo,200,1150.5519183286542,True,False,True,False,True,False,True,False,False,False,True,False
1,depth4_e,92,90.19400166751024,True,False,False,False,True,True,False,False,False,False,False,False
1,depth6_e,200,1207.8789688053037,True,False,True,False,True,False,True,False,False,False,True,False
1,high_fidelity_e,200,1216.2417975564833,True,False,True,False,True,False,True,False,False,False,True,False
2,ppo,200,1162.8709731328697,True,False,True,False,True,False,True,False,False,False,True,False
2,depth4_e,112,128.10040972437517,True,False,False,False,True,True,False,False,False,False,False,False
2,depth6_e,123,132.2457706569749,True,False,False,False,True,True,False,False,False,False,False,False
2,high_fidelity_e,200,1192.9367645650705,True,False,True,False,True,False,True,False,False,False,False,False
3,ppo,200,1181.8010843941015,True,False,True,False,True,False,True,False,False,False,True,False
3,depth4_e,105,95.12156666299848,True,False,False,False,True,True,False,False,False,False,False,False
3,depth6_e,200,1276.3475118215374,True,False,True,False,True,False,True,False,False,False,True,False
3,high_fidelity_e,200,1275.3241725575404,True,False,True,False,True,False,True,False,False,False,True,False
4,ppo,185,4.745280043964076,True,False,False,False,True,True,True,False,False,False,True,False
4,depth4_e,68,63.35976161663627,True,False,False,False,True,True,True,False,False,False,True,False
4,depth6_e,39,56.84148532272364,True,False,False,False,True,True,False,False,False,False,False,False
4,high_fidelity_e,37,42.26169365641366,True,False,False,False,True,True,False,False,False,False,False,False
5,ppo,84,70.51373092298215,True,False,False,False,True,True,True,False,False,False,True,True
5,depth4_e,77,55.063178912722705,True,False,False,False,True,True,True,False,False,False,True,False
5,depth6_e,39,14.93732228496502,True,False,False,False,True,True,False,False,False,False,False,False
5,high_fidelity_e,47,32.018837334298695,True,False,False,False,True,True,False,False,False,False,False,False
6,ppo,200,2331.2653367604926,True,True,True,True,True,False,True,False,False,False,False,False
6,depth4_e,200,1229.7632045887574,True,False,True,False,True,False,True,False,False,False,True,False
6,depth6_e,109,112.07697905153157,True,False,False,False,True,True,False,False,False,False,False,False
6,high_fidelity_e,110,120.33344465916383,True,False,False,False,True,True,False,False,False,False,False,False
7,ppo,200,1164.407703515889,True,False,True,False,True,False,True,False,False,False,True,False
7,depth4_e,93,80.99365706157134,True,False,False,False,True,True,False,False,False,False,False,False
7,depth6_e,200,1223.3676745300183,True,False,True,False,True,False,True,False,False,False,True,False
7,high_fidelity_e,200,1269.7563765445982,True,False,True,False,True,False,True,False,False,False,True,False
8,ppo,200,1167.1438909587039,True,False,True,False,True,False,True,False,False,False,True,False
8,depth4_e,102,113.50212113498468,True,False,False,False,True,True,False,False,False,False,False,False
8,depth6_e,200,1254.435192631822,True,False,True,False,True,False,True,False,False,False,True,False
8,high_fidelity_e,200,1285.9808270223984,True,False,True,False,True,False,True,False,False,False,True,False
9,ppo,60,61.1334333654131,True,False,False,False,True,True,True,False,False,False,False,False
9,depth4_e,117,55.9605948123449,True,False,False,False,True,True,True,False,False,False,True,False
9,depth6_e,20,-6.252201401961203,True,False,False,False,True,True,False,False,False,False,False,False
9,high_fidelity_e,20,0.2832523795535735,True,False,False,False,True,True,False,False,False,False,False,False
10,ppo,200,1206.7811302496373,True,False,True,False,True,False,True,False,False,False,False,False
10,depth4_e,108,129.19617083142987,True,False,False,False,True,True,False,False,False,False,False,False
10,depth6_e,200,1241.4654099150214,True,False,True,False,True,False,True,False,False,False,True,False
10,high_fidelity_e,200,1248.3207857033515,True,False,True,False,True,False,True,False,False,False,True,False
11,ppo,114,40.353347385696544,True,False,False,False,True,True,True,False,False,False,True,False
11,depth4_e,78,68.66621376569222,True,False,False,False,True,True,True,False,False,False,True,False
11,depth6_e,28,-10.900812383504658,True,False,False,False,True,True,False,False,False,False,False,False
11,high_fidelity_e,47,53.13484363046143,True,False,False,False,True,True,True,False,False,False,False,False
12,ppo,200,1170.3267896814928,True,False,True,False,True,False,True,False,False,False,True,False
12,depth4_e,97,104.81884069022882,True,False,False,False,True,True,False,False,False,False,False,False
12,depth6_e,200,1284.6097869061093,True,False,True,False,True,False,True,False,False,False,False,False
12,high_fidelity_e,200,1317.1408144789718,True,False,True,False,True,False,True,False,False,False,False,False
13,ppo,83,57.28052966729169,True,False,False,False,True,True,True,False,False,False,True,False
13,depth4_e,92,72.57231360567633,True,False,False,False,True,True,True,False,False,False,True,False
13,depth6_e,56,62.02038030193627,True,False,False,False,True,True,True,False,False,False,False,False
13,high_fidelity_e,53,63.06931734789582,True,False,False,False,True,True,True,False,False,False,False,False
14,ppo,11,-22.932753341523306,True,False,False,False,True,True,False,False,False,False,False,False
14,depth4_e,89,106.4469149168336,True,False,False,False,True,True,False,False,False,False,False,False
14,depth6_e,104,116.69438266359134,True,False,False,False,True,True,False,False,False,False,False,False
