seed,policy,steps,total_reward,valid_scenario,titan_success,spot_success,team_success,titan_failed,spot_failed,titan_wall_collision,spot_wall_collision,titan_robot_collision,spot_robot_collision,titan_tipped,spot_tipped,titan_goal_step,spot_goal_step,titan_final_goal_distance,spot_final_goal_distance,min_robot_distance,titan_action_mae,spot_action_mae
0,ppo,131,30.501553874286117,True,False,False,False,True,True,True,False,False,True,True,False,,,5.4105508790213,5.572648048809602,1.2802263498306274,,
0,depth4_e,97,71.78271545616192,True,False,False,False,True,True,True,False,False,True,True,False,,,5.412563883624025,5.574098553927227,1.469860315322876,0.3829603437841856,1.059934784197406
0,depth6_e,48,49.59566923448541,True,False,False,False,True,True,True,False,False,True,False,False,,,5.533339826763061,5.211882533711794,1.1599041223526,0.29050587330694727,0.7660896773625109
0,high_fidelity_e,45,46.800100112338335,True,False,False,False,True,True,True,False,False,True,False,False,,,5.544652448285218,4.99519263142338,1.008293628692627,0.2999935768032525,0.9944773022220837
1,ppo,200,1150.5519183286542,True,False,True,False,True,False,True,False,False,False,True,False,,109,5.234730746555901,1.3026849553958362,1.0113673210144043,,
1,depth4_e,92,90.19400166751024,True,False,False,False,True,True,False,False,True,True,False,False,,,5.873375860505622,4.130145302104613,1.129189133644104,0.6224962920133997,0.7822534917794886
1,depth6_e,200,1207.8789688053037,True,False,True,False,True,False,True,False,False,False,True,False,,130,5.129676379654629,2.9045162012445322,1.4163578748703003,0.5894278518346691,0.535673295927897
1,high_fidelity_e,200,1216.2417975564833,True,False,True,False,True,False,True,False,False,False,True,False,,117,5.129676379654629,1.977719479924723,1.4815189838409424,0.6051899730218517,0.4740383427437414
2,ppo,200,1162.8709731328697,True,False,True,False,True,False,True,False,False,False,True,False,,106,4.24287677713399,1.1529867283189745,1.7723227739334106,,
2,depth4_e,112,128.10040972437517,True,False,False,False,True,True,False,False,True,True,False,False,,,4.492446920726845,5.29429692366481,1.1527903079986572,0.8417221570038268,0.992527018744702
2,depth6_e,123,132.2457706569749,True,False,False,False,True,True,False,False,True,True,False,False,,,5.4552246607814,5.7076739087529,1.2231006622314453,0.9301106967222438,1.0752609642793074
2,high_fidelity_e,200,1192.9367645650705,True,False,True,False,True,False,True,False,False,False,False,False,,174,4.165638293220368,6.217065653015941,1.789124608039856,0.8142868890364897,0.8254583043469194
3,ppo,200,1181.8010843941015,True,False,True,False,True,False,True,False,False,False,True,False,,108,4.741316366988573,1.1163208161497395,1.640663504600525,,
3,depth4_e,105,95.12156666299848,True,False,False,False,True,True,False,False,True,True,False,False,,,5.331623650550724,4.691223794689487,1.11259126663208,0.7589447666485956,0.8550354646939397
3,depth6_e,200,1276.3475118215374,True,False,True,False,True,False,True,False,False,False,True,False,,129,4.580831256635928,2.8887652018424705,1.611713171005249,0.8249787261016711,0.46692327281750773
3,high_fidelity_e,200,1275.3241725575404,True,False,True,False,True,False,True,False,False,False,True,False,,107,4.580831256635928,1.3062824207957027,1.6524122953414917,0.8615062875095866,0.3366772972570545
4,ppo,185,4.745280043964076,True,False,False,False,True,True,True,False,True,True,True,False,,,4.397803394292114,6.635927266935338,1.5575146675109863,,
4,depth4_e,68,63.35976161663627,True,False,False,False,True,True,True,False,False,True,True,False,,,4.424024380393253,6.692744249265071,1.543017864227295,0.41166458447368526,0.5726192685104126
4,depth6_e,39,56.84148532272364,True,False,False,False,True,True,False,False,True,True,False,False,,,5.223878507587623,5.858502600348144,0.839559018611908,0.3952972230363726,0.8572570120121491
4,high_fidelity_e,37,42.26169365641366,True,False,False,False,True,True,False,False,True,True,False,False,,,5.380856550755571,5.9075151248756965,0.8472242951393127,0.3979233428946805,0.8592540857903831
5,ppo,84,70.51373092298215,True,False,False,False,True,True,True,False,False,False,True,True,,,4.315569233783925,7.084453143316954,1.3200727701187134,,
5,depth4_e,77,55.063178912722705,True,False,False,False,True,True,True,False,False,True,True,False,,,4.28426130587581,6.604237404523779,1.1419848203659058,0.37853655823539323,0.7885057552989179
5,depth6_e,39,14.93732228496502,True,False,False,False,True,True,False,False,True,True,False,False,,,5.290465583883663,6.55116968511215,0.8788089752197266,0.3752030554172994,0.48619641842782313
5,high_fidelity_e,47,32.018837334298695,True,False,False,False,True,True,False,False,True,True,False,False,,,4.649381245056244,6.049664846211798,0.9200158715248108,0.35616551499635934,0.6893840316935975
6,ppo,200,2331.2653367604926,True,True,True,True,True,False,True,False,False,False,False,False,121,104,3.3090098728300767,1.0820994408310933,1.620308756828308,,
6,depth4_e,200,1229.7632045887574,True,False,True,False,True,False,True,False,False,False,True,False,,138,4.051190120737084,5.863879148932571,2.629882574081421,0.8272568215425712,0.8595358968736564
6,depth6_e,109,112.07697905153157,True,False,False,False,True,True,False,False,True,True,False,False,,,5.152666135687748,5.895614831593394,1.195859432220459,0.9289210990782857,1.0522009464876723
6,high_fidelity_e,110,120.33344465916383,True,False,False,False,True,True,False,False,True,True,False,False,,,5.079267261665559,4.7818714266571245,1.3406293392181396,0.8510145607900593,0.9741823301464255
7,ppo,200,1164.407703515889,True,False,True,False,True,False,True,False,False,False,True,False,,108,5.24763989878194,1.454655192483535,1.1288647651672363,,
7,depth4_e,93,80.99365706157134,True,False,False,False,True,True,False,False,True,True,False,False,,,5.914208416802459,4.647730686707417,1.2760096788406372,0.6422183701695744,0.7675476806444075
7,depth6_e,200,1223.3676745300183,True,False,True,False,True,False,True,False,False,False,True,False,,124,5.090693865984602,2.5907675526790204,1.4947104454040527,0.7130779098291697,0.52489938647259
7,high_fidelity_e,200,1269.7563765445982,True,False,True,False,True,False,True,False,False,False,True,False,,107,5.090693865984602,1.3439302915251834,1.534819483757019,0.7812496688557604,0.4091628880463734
8,ppo,200,1167.1438909587039,True,False,True,False,True,False,True,False,False,False,True,False,,104,4.727004659076816,1.0730584280954951,1.6243491172790527,,
8,depth4_e,102,113.50212113498468,True,False,False,False,True,True,False,False,True,True,False,False,,,5.467381826613538,4.8710079750027075,1.112801432609558,0.7118615279619401,0.9050530409387063
8,depth6_e,200,1254.435192631822,True,False,True,False,True,False,True,False,False,False,True,False,,132,4.627157609146164,3.0274379726792473,1.5838942527770996,0.8068061951630899,0.48585335880237984
8,high_fidelity_e,200,1285.9808270223984,True,False,True,False,True,False,True,False,False,False,True,False,,106,4.627157609146164,1.103287134123786,1.6047784090042114,0.8778779199095211,0.36884040622850206
9,ppo,60,61.1334333654131,True,False,False,False,True,True,True,False,False,True,False,False,,,4.2980301785288715,6.714295208646222,1.097601294517517,,
9,depth4_e,117,55.9605948123449,True,False,False,False,True,True,True,False,False,True,True,False,,,4.26861254957016,6.6272821552832815,1.0056143999099731,0.41465183247623427,0.9908769355258934
9,depth6_e,20,-6.252201401961203,True,False,False,False,True,True,False,False,True,True,False,False,,,6.72226674201317,7.634489429186295,0.8357899785041809,0.42406847385297486,0.5927078410006398
9,high_fidelity_e,20,0.2832523795535735,True,False,False,False,True,True,False,False,True,True,False,False,,,6.72226674201317,7.665576034088,0.8994181752204895,0.4036707878259844,0.40558759573765857
10,ppo,200,1206.7811302496373,True,False,True,False,True,False,True,False,False,False,False,False,,107,4.806208542356055,1.1283908522525201,1.7854158878326416,,
