Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.1,0,0,0.0,0.0
0.345,1.0,-0.9279176,-0.02990621831456944,-0.0031000089317063987
0.385,1.0,-0.9217305,0.00957305297102999,-0.0015735560652335885
0.435,1.0,-0.9225457,0.04422428056868162,-0.0009851006864626706
0.5,1.0,-0.92561215,0.09322041784693054,0.0012732374936766527
0.6,1.0,-0.9339596,0.1590985081836063,-0.00185917607530708
0.7,1.0,-0.94762087,0.27757488648615736,-0.000710585563900374
0.8,1.0,-0.93442607,0.3757251632570969,-0.0013489105371761094
0.9,1.0,-0.9389651,0.4767074109773351,-0.004975404135636041
1.0,1.0,-0.79858285,0.5019274184477392,-0.18125772339670987
1.1,1.0,-0.3666327,0.5706207099450373,-0.21349716353463347
1.2,1.0,0.3143076,0.6449615988870855,-0.34500616957891994
1.3,1.0,1.0082227,0.7207916660349457,-0.2913180551407796
1.4,1.0,1.3639615,0.7306589469960127,-0.056113638305993876
1.5,1.0,1.3843365,0.7315503499495705,0.16143004314510187
1.6,1.0,0.8824639,0.7728005743682723,0.42908822544797715
1.7,1.0,-0.28744337,0.7374834407056433,0.6535484098028904
1.8,1.0,-1.5,0.7607224047835164,0.657576777594747
1.9,1.0,-1.5,0.7043671267299458,0.40306406236402215
2.0,1.0,-1.5,0.7257771189341695,0.14501814057388102
2.1,1.0,-1.5,0.7559579075756263,-0.12096656506208543
2.2,1.0,-1.5,0.7242549808918223,-0.3864522574178007
2.3,1.0,-1.5,0.7029150889439726,-0.5950981569543086
2.4,1.0,-0.7109968,0.681469693418701,-0.7386334525795234
2.5,1.0,0.88437057,0.6857032569976617,-0.7429169730398812
2.6,1.0,1.5,0.7121597750564964,-0.5468426737402067
2.7,1.0,1.5,0.715301249332345,-0.3496957585851147
2.8,1.0,1.5,0.7422096230927312,-0.037343656267655054
2.9,1.0,1.5,0.7501163164404703,0.1781234572618205
3.0,1.0,1.5,0.7727085405695885,0.4445561476493424
3.1,1.0,1.5,0.6853783994970045,0.5956756431297865
3.2,1.0,0.9197999,0.6354362321418776,0.733133345875708
3.3,1.0,-0.8300912,0.5784714455267292,0.7512258487495838
3.4,1.0,-1.5,0.6556201315514874,0.6840077970216377
3.5,1.0,-1.5,0.7301085414883131,0.50207143721753
3.6,1.0,-1.5,0.6685080395849436,0.27968257672405367
3.7,1.0,-1.5,0.7148203109930045,-0.002435548243582199
3.8,1.0,-1.5,0.7061956834987391,-0.2505984589939164
3.9,1.0,-1.5,0.7400012475830275,-0.5248911428543601
4.0,1.0,-1.5,0.7031020082443413,-0.7495435242057631
4.1,1.0,-0.79157907,0.6087738372491267,-0.8329714749495111
4.2,1.0,0.8261393,0.5594586849146171,-0.8102385023761213
4.3,1.0,1.5,0.6280905159071114,-0.7201556256782179
4.4,1.0,1.5,0.6449721690462886,-0.4764493840570051
4.525,1.0,1.5,0.6721947406815175,-0.26937539595652127
4.6,1.0,1.5,0.6816103102691627,0.002299290131862537
4.7,1.0,1.5,0.6756755503113356,0.21306824344463396
4.8,1.0,1.5,0.6925074559628989,0.47956152182637407
4.9,1.0,1.5,0.6977640295141851,0.7592141345005483
5.0,1.0,1.3985331,0.5506621233846254,0.8218786677212279
5.1,1.0,-0.25511375,0.5353247312422029,0.7937232128725914
5.2,1.0,-1.5,0.5883135420699073,0.8237451422065264
5.3,1.0,-1.5,0.5759439623581417,0.6321529266389095
5.4,1.0,-1.5,0.5969252508851177,0.4078241756229233
5.5,1.0,-1.5,0.6030600180847016,0.19288964349136653
5.6,1.0,-1.5,-0.07800242837932135,0.1033315294568403
5.7,0.79688823,-1.5,-0.15942551680014933,-0.12992777626616014
5.8,0.76970136,-1.5,-0.1425323072663591,-0.2119088160182265
5.9,0.30185288,-1.5,-0.15396221257168755,-0.41668346838158704
6.0,0.4829335,-1.5,-0.11384549840297047,-0.4413351156688704
6.1,1.0,-1.5,-0.10223501457991716,-0.4835848477778214
6.2,1.0,-1.3118417,-0.10521459631074362,-0.5733265890663163
6.3,1.0,0.29465774,-0.1101282211682099,-0.5169099131694118
6.4,1.0,1.411618,-0.0719728148831207,-0.4260634659846779
6.5,1.0,1.5,-0.1893238578594802,-0.26454487984596065
6.6,1.0,1.5,-0.14872948659290183,-0.20711065679659557
6.705,1.0,1.5,-0.09212598517320378,-0.06782006457105058
6.8,1.0,1.5,-0.025786861221027396,0.13049011499599486
6.9,1.0,1.5,0.07117493363140738,0.3478347660621737
7.0,1.0,1.0533643,0.13238800925336758,0.4609243530900926
7.1,0.81264967,-1.5,-0.0064588354152496225,0.4607479694573131
7.2,-0.22880727,-1.5,0.09222626153418323,0.4470421506863345
7.3,-0.4641668,-1.5,0.11789940913691357,0.23637335344908336
7.4,-0.5,-1.5,0.08200670602075574,0.08779020938013064
7.5,-0.5,-1.5,0.0704134724157171,0.025923597593068656
7.6,-0.5,-1.5,0.06300197307274835,0.01750372677302632
7.7,-0.5,-1.5,0.05700414998112619,0.02506444205488548
7.8,-0.5,-1.5,0.053953411980934576,0.017219706867042394
7.9,-0.5,-1.5,0.0008402886884882922,0.03241039377661826
8.0,-0.5,-1.5,0.028557441522373998,0.07450091372283353
8.12,-0.5,-1.5,0.02103972145651628,0.055216670810624466
8.2,-0.5,-1.5,0.019390683217264386,0.03325908899156054
8.3,-0.5,-1.5,-0.10208915962231391,0.0012145567976399715
8.4,-0.5,-1.5,-0.08245039733201058,-0.010248820724650269
8.5,-0.5,-1.5,-0.08545600955659043,0.009519332406136099
8.6,-0.5,-1.5,-0.11305021644507326,0.0047134644248203045
8.7,-0.5,-1.5,-0.07902598069903376,0.006967313733130027
8.8,-0.5,-1.5,-0.1106473122966677,-0.20163851981106726
8.9,-0.5,-1.5,-0.12779861467213502,-0.32635218830152457
9.0,-0.5,-1.5,-0.19216949749949447,-0.45856006139123623
9.105,0.29630688,-1.5,-0.14890546331208648,-0.5792513125465417
9.2,1.0,0.52052754,-0.23624042700688455,-0.4874903853431936
9.3,1.0,1.5,-0.21678713612426898,-0.46577056278421664
9.4,0.77898484,1.5,-0.2067060404755815,-0.49728958808530127
9.5,0.22715774,1.5,-0.16312585294644252,-0.43964354219192675
9.6,-0.21845818,1.5,-0.13059321524916617,-0.33021547237001053
9.7,-0.5,1.5,-0.12291183320709838,-0.2742455016836355
9.8,-0.5,1.5,-0.05057260337710266,-0.17566508259218702
9.9,-0.5,1.5,-0.02424688998978526,-0.014810111960025334
10.0,-0.49887326,1.5,0.005138558837390652,0.13253955193943043
10.105,-0.091045186,1.5,0.05045986411056186,0.2817171422977106
