Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.1,0,0,0.0,0.0
0.465,1.0,-1.1020521,-0.002837492560360807,-0.0005112043521375276
0.565,1.0,-1.1321425,0.19202400965788916,0.0006255824290586339
0.665,1.0,-1.1464307,0.2834667086227823,0.00036270992558050304
0.765,1.0,-1.1523467,0.3812676596479738,-0.015445212014575932
0.875,1.0,-0.97172356,0.41086536181683214,-0.16006716499210788
1.0,1.0,-0.4198221,0.47629012594953185,-0.22452492312941974
1.08,1.0,0.39070365,0.5815026960395582,-0.3160995317341083
1.215,1.0,0.8553668,0.6880581661450421,-0.25316098061272996
1.355,1.0,1.2422358,0.7324594973387748,-0.036920188326538525
1.43,1.0,0.89487696,0.7508905267454177,0.3458666283628625
1.495,1.0,0.46996596,0.7723504753264734,0.4829567469546413
1.565,1.0,-0.63952976,0.7270858430968228,0.6103774901732179
1.665,1.0,-1.5,0.7628882812093166,0.5204412490168004
1.77,1.0,-1.5,0.7570850741178113,0.30194008749531953
1.865,1.0,-1.5,0.7690588586524382,0.02526595355839815
1.9649999999999999,1.0,-1.5,0.7802492052425241,-0.2612216554199324
2.065,1.0,-1.5,0.7604316220519202,-0.47338056709905096
2.18,1.0,-0.768017,0.7435610964225972,-0.6673165518736086
2.3,1.0,1.2581949,0.6988262322015306,-0.7392918503111655
2.365,1.0,1.5,0.682709253643721,-0.5632664630118225
2.465,1.0,1.5,0.740462763883979,-0.4313900929802536
2.565,1.0,1.5,0.7253886941690274,-0.17794843011570835
2.665,1.0,1.5,0.7362969981768331,0.05190665095237858
2.765,1.0,1.5,0.704131079267266,0.3552104980063818
2.865,1.0,1.5,0.7469460589799451,0.5938529368373264
2.965,1.0,1.5,0.6331795415151799,0.6805252588573346
3.065,1.0,0.07239637,0.6143315250828915,0.8502000817994737
3.18,1.0,-1.5,0.5266297079125868,0.7589020798547851
3.265,1.0,-1.5,0.6028142969722418,0.6341443591706143
3.365,1.0,-1.5,0.6349224803724933,0.4701005628275308
3.465,0.9110995,-1.5,0.6826380452435666,0.25661667456581166
3.565,0.83718634,-1.5,0.6774942092525413,-0.01286498541084631
3.665,0.8304572,-1.5,0.6429841981930076,-0.23943902111879092
3.7800000000000002,1.0,-1.5,0.6890551578536023,-0.5504400510152139
3.865,1.0,-1.5,0.662428210470839,-0.721351597055917
3.965,1.0,-1.5,0.6093578413156622,-0.8505731564155936
4.065,1.0,0.32679364,0.554220687060853,-0.7952070963072659
4.165,1.0,1.5,0.5845531467506347,-0.7454845974437467
4.265,1.0,1.5,0.6131826743097601,-0.5695708909628342
4.375,1.0,1.5,0.6015245460645923,-0.2867118706343925
4.465,1.0,1.5,0.6412865075894035,-0.01097446093630448
4.595,1.0,1.5,0.6083662601872937,0.25364418962838664
4.665,1.0,1.5,0.6023487088647268,0.5400691950816324
4.765,1.0,1.5,0.6296506421600134,0.7198993363698042
4.865,1.0,0.90826243,0.5770556797181644,0.8707005711435918
4.965,1.0,-1.0234517,0.5389831652327215,0.7116878804470751
5.065,1.0,-1.5,0.6884896701114774,0.6444491672294398
5.165,1.0,-1.5,0.6562200058612999,0.3948993581143513
5.265,1.0,-1.5,0.681438828835317,0.14590385001534775
5.365,1.0,-1.5,0.7131366956104208,-0.10058021989747586
5.465,1.0,-1.5,0.10186605974820616,-0.3202252488764521
5.57,1.0,-1.5,0.11006096351128916,-0.3671595044806983
5.67,1.0,-1.5,0.09589515544860851,-0.5104442744268708
5.765,1.0,-0.95716614,0.08501550480820903,-0.5186185137131565
5.865,1.0,0.3743072,-0.212849115594914,0.08760265941116747
5.965,1.0,0.563199,-0.1493550343340866,-0.07261380592538856
6.065,1.0,0.6677902,0.07095074118612997,0.004401635059374693
6.165,1.0,0.722855,-0.002732530438864125,-0.16719351332469964
6.27,1.0,0.81229484,-0.05861542500326139,-0.027043097538455615
6.365,1.0,0.6781638,-0.08409972604966164,0.24882595181008338
6.47,1.0,0.23887414,-0.04756347174346434,0.1596299649949071
6.5649999999999995,1.0,-0.018755818,-0.035100685275427784,0.033936161824473364
6.665,1.0,-0.14240626,-0.1186482155925651,0.01011415228910275
6.785,1.0,-0.13893034,-0.061617106012950985,-0.05264812204173208
6.87,1.0,-0.064045325,0.008221005475663751,0.12827089247651965
6.965,1.0,-0.00990032,-0.19027997982335934,-0.01523264211531633
7.065,1.0,-0.07104469,-0.1373667603324457,-0.04746052431483085
7.165,1.0,-0.02348781,-0.1657320509341329,-0.03315715279485538
7.265,1.0,0.0009085722,-0.18791562310635618,0.009545861913024242
7.39,1.0,-0.019772086,-0.0760409979869634,0.2064082922780862
7.465,1.0,-0.061239865,-0.14493489865469972,-0.05375703623374565
7.5649999999999995,1.0,0.10552725,-0.10722570699255378,0.027951385941109668
7.665,1.0,0.031606015,-0.06253809407292144,0.009480230359667812
7.765,1.0,-0.36024386,-0.08898556583313477,0.05915898705057589
7.865,1.0,-0.40813377,-0.07040190265085351,-0.06291759068488118
