Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.1,0,0,0.0,0.0
0.355,1.0,1.5,0.0017939889857541732,-0.0005195826256777406
0.455,1.0,1.5,-2.961846791534658e-05,-0.0022358366244693236
0.555,1.0,1.5,0.04788069844823764,0.002740675507883268
0.655,1.0,1.5,0.16106704193467228,-0.0008738327746184772
0.755,1.0,1.5,0.25298874129090937,0.002365793869081461
0.855,1.0,1.5,0.3044418558047619,0.1125287696223754
0.96,1.0,1.5,0.34070343996690294,0.23552859527891193
1.055,1.0,1.5,0.4108098855014484,0.3811801867151349
1.155,1.0,1.5,0.46199160045533133,0.5109003181011369
1.255,1.0,1.5,0.43749314812082746,0.5638823317715486
1.3599999999999999,1.0,1.074249505996704,0.423490563271314,0.6500209005312909
1.455,1.0,0.20098376274108887,0.382606162003177,0.7397868009103868
1.5550000000000002,1.0,-0.6399286389350891,0.4248922510066057,0.7778037744063367
1.655,1.0,-1.5,0.5111926809765795,0.7030042210757895
1.755,1.0,-1.5,0.5256007521796083,0.5086598384709772
1.855,1.0,-1.5,0.5630663860577882,0.25935700842139253
1.955,1.0,-1.5,0.5686494789570251,-0.00079180510781237
2.055,1.0,-1.5,0.5707685185582241,-0.2586955671658704
2.155,1.0,-1.5,0.5917998669503788,-0.5233641077256636
2.255,1.0,-1.5,0.5991469812915323,-0.7545597976431863
2.355,1.0,-1.5,0.5603485395073607,-0.870355432759238
2.455,1.0,-1.0281953811645508,0.5054388469418141,-0.7966321444288125
2.555,1.0,0.21586409211158752,0.5482392452627063,-0.8932850293577109
2.6550000000000002,1.0,1.1921741962432861,0.6050204459652705,-0.7849728809938439
2.755,1.0,1.5,0.6261816591267252,-0.5289234659350635
2.87,1.0,1.5,0.6807080394962015,-0.29379821867539363
2.955,1.0,1.5,0.6505109631438399,0.002836681683858768
3.055,1.0,1.5,0.6314392722588702,0.21900967207752983
3.155,1.0,1.5,0.6863165943575678,0.4669305973914085
3.255,1.0,1.5,0.6058691555908128,0.6502357743578397
3.365,1.0,1.242179274559021,0.5652002061599043,0.773232512362418
3.465,1.0,0.2729519009590149,0.549486899279894,0.8115704521068421
3.555,1.0,-0.7157396078109741,0.5795445631566557,0.7312571614717204
3.6550000000000002,1.0,-1.5,0.6587257129571276,0.6165489552158917
3.755,1.0,-1.5,0.6751756697936218,0.4174387498841365
3.865,1.0,-1.5,0.7045737666008246,0.1742648892196299
3.96,1.0,-1.5,0.7191554313956957,-0.021263767992902593
4.055,1.0,-1.5,0.7341355729462928,-0.31914465846881446
4.155,1.0,-1.5,0.7452936889452304,-0.6148616276170928
4.255,1.0,-1.5,0.6248937953991023,-0.7120582800369601
4.355,1.0,-1.5,0.5582367325702675,-0.860185081954282
4.455,1.0,-1.5,0.5326584899617207,-0.8420526728751315
4.555,1.0,-1.212510585784912,0.4745101033163192,-0.7708231664765202
4.655,1.0,-0.03637095168232918,0.4709048496540044,-0.8653364147043424
4.755,1.0,0.8851907849311829,0.5385545600978948,-0.7858489225889457
4.855,1.0,1.4998362064361572,0.5620960112810021,-0.6227470761909222
4.955,1.0,1.5,0.6085409220208718,-0.38661251454132545
5.055,1.0,1.5,0.6140024388559878,-0.15272810775786796
5.155,1.0,1.5,0.6232186301802701,0.10324620886251502
5.255,1.0,1.5,0.6706835381171924,0.37035078419304995
5.355,1.0,1.5,0.6103242464820856,0.5800992335118051
5.455,1.0,1.4215927124023438,0.6173493842829533,0.8188309786101342
5.555,1.0,0.7931490540504456,0.49952793375258536,0.778670108238941
5.655,1.0,0.028581734746694565,0.519321377740509,0.7499919507678718
5.755,1.0,-0.9012570977210999,0.6043892282955547,0.6777665215578579
5.855,1.0,-1.5,0.6572433174315634,0.541975967740423
5.955,1.0,-1.5,0.6544049927101022,0.30215648751319085
6.06,1.0,-1.5,0.7013371120066842,0.03531222153388636
6.165,1.0,-1.5,0.6903790773599113,-0.19019783369422286
6.255,1.0,-1.5,0.7058019989012956,-0.4600893484629992
6.355,1.0,-1.5,0.7186519300042296,-0.6947963999234321
6.455,1.0,-1.4720172882080078,0.6329836734729738,-0.7472634547161628
6.555,1.0,-1.2131450176239014,0.6091700652842857,-0.8873829933876161
6.655,1.0,-0.28563064336776733,0.5388359199831255,-0.7989818363656529
6.755,1.0,0.41374918818473816,0.6495894619459892,-0.7423134951252361
6.855,1.0,0.9754696488380432,0.493305862368787,-0.849871222229515
6.955,1.0,1.4376611709594727,0.6987859850487235,-0.9114719464700451
7.055,1.0,1.5,0.722434364097799,-0.6057539912201431
7.155,1.0,1.5,0.8987565166833626,0.024930342442840165
7.26,1.0,1.5,0.865956980415116,0.3193187833714952
7.355,1.0,1.5,0.8393729605059068,0.5562847270317689
7.455,1.0,1.5,0.8510062270418138,0.7527137451392468
7.555,1.0,1.5,0.8183371945208309,0.7722464637741221
7.66,1.0,1.5,0.7851686287447357,0.8430804331229961
7.755,1.0,1.5,0.3448973973767882,0.13245379073639582
7.855,1.0,1.5,0.3001981721532962,0.08052417827466568
7.955,1.0,1.5,0.32071285259738846,0.08729426499778074
8.055,1.0,1.5,0.32223803561699343,0.09951315474696759
8.155,1.0,1.387154459953308,0.2564334566222039,0.06636205915454832
8.255,1.0,0.7771682143211365,0.3083479081939388,0.13589559888631567
8.365,1.0,0.6521141529083252,0.28828993466195824,0.030463205213407302
8.455,1.0,0.6207743287086487,0.28029061821840734,0.07306029786817383
8.555,1.0,-0.019051972776651382,0.403782840099828,0.007759042681634224
8.655,1.0,-0.04422884061932564,0.6281091357058312,-0.08298238604149998
8.755,1.0,-0.005065951496362686,0.7462347538285323,0.0045596909958829784
8.855,1.0,-0.12197968363761902,0.8729375653621472,0.07031050512146031
8.955,1.0,-0.19302725791931152,1.0039884518244977,0.0019246637278102145
9.055,1.0,-0.12149322032928467,0.9802252291109808,-0.18164523260333273
9.155,1.0,0.010311778634786606,0.9822606217328271,-0.18311949245317322
9.255,1.0,0.20078608393669128,1.0125547928244973,-0.04852074023293034
9.355,1.0,0.010968174785375595,0.9972590953004975,0.027494390235502958
9.455,1.0,-0.298485666513443,0.9756543573967182,0.1360824737802934
9.555,1.0,-0.4848070740699768,1.0130710978222697,-0.02670761285531234
9.655,1.0,-0.3827040195465088,0.9514529849889118,-0.1634280068188669
9.755,1.0,-0.3162361979484558,0.8807079036147215,-0.3118834556087753
9.855,1.0,-0.13059353828430176,0.8685126484195819,-0.3377563424619058
9.965,1.0,0.28217804431915283,0.929219009105831,-0.21823552366207855
10.055,1.0,0.39253178238868713,0.9398035265225353,-0.13399631032607032
10.16,1.0,1.0805861949920654,0.9484597886934686,0.01362053055176778
10.255,1.0,0.35944443941116333,0.878542853395529,0.22308723392664687
10.355,1.0,0.18873560428619385,0.8363264824519497,0.30568960872192613
10.465,1.0,-0.006276506930589676,0.8937266521203027,0.25778743931053133
10.555,1.0,-0.22364065051078796,0.9282521150074431,0.12341954507431466
10.66,1.0,-0.047421667724847794,0.9848241263382541,-0.0006694218308657325
10.76,1.0,-0.10849782824516296,0.9808261312143992,-0.06905177057252414
10.855,1.0,-0.016982126981019974,0.9770619243612046,-0.0063837633847756035
10.955,1.0,-0.04870549216866493,0.9968551487008408,-0.009646686350642298
11.055,1.0,-0.07703150808811188,0.9755259197400518,-0.006722651321618956
11.155,0.8561016917228699,0.015227105468511581,0.9686691954211651,-0.015915528424169007
11.255,0.9655367136001587,0.043107446283102036,0.9449001901113994,-0.011152180204738843
11.355,0.8816503286361694,0.017465826123952866,0.8720402048029701,-0.0005908057414927115
11.47,1.0,0.3518686592578888,0.9061543149654311,0.0010317506230147638
11.555,1.0,0.46811386942863464,0.8757987614347685,0.021821141989401223
11.655,1.0,1.5,0.8569670032450988,0.2895839196990011
11.755,1.0,1.5,0.8248096230830434,0.39030657843502464
11.855,1.0,1.5,0.8328720181604771,0.48576432775787204
11.955,1.0,1.5,0.7259394033021851,0.5626471661666326
12.055,1.0,1.5,0.6416638397653618,0.6708296671084395
12.155,1.0,1.4963045120239258,0.5994703814183909,0.7441568082722463
12.255,1.0,0.9020742177963257,0.5653407843905056,0.7906526622210327
12.355,1.0,0.8256463408470154,0.5757660016291875,0.8308475191631514
12.47,1.0,0.5409536361694336,0.6169153911115928,0.7177694516667034
12.555,1.0,0.38853690028190613,0.6767044451700005,0.6260080944430545
12.655,1.0,0.581841230392456,0.7641308905511492,0.5381354458630742
12.755,1.0,0.46574726700782776,0.8232830111796254,0.4865250550883569
12.855,1.0,-1.5,0.8291668262429944,0.5049896018441777
12.955,1.0,-1.5,0.8769313146395565,0.39406951617023056
13.055,1.0,-1.5,0.9095710462161728,0.10983593286580502
13.155,0.7781105637550354,-1.5,0.9153032095490541,-0.18195625408689037
13.255,0.008627422153949738,-1.5,0.9378757190143151,-0.4321678397105344
13.365,-0.14487022161483765,-1.5,0.8540040037617731,-0.5184787596440718
13.455,-0.28094688057899475,-1.5,0.7270680033223014,-0.5153485883566308
13.555,-0.28593751788139343,-1.5,0.6579814395302721,-0.5100420071797738
13.655,-0.4348110854625702,-1.5,0.4300771812372497,-0.4217064289447837
13.76,-0.4307924807071686,-1.5,0.3879485818291952,-0.4780380988354673
13.855,-0.5,-1.5,0.2407965461073661,-0.3978243131919497
13.955,-0.453731507062912,-1.5,0.18626858870824434,-0.3775445140958308
14.055,-0.4152839779853821,-1.5,0.04477450438588836,-0.17491618628076594
14.155,-0.4287542402744293,-1.5,0.02707994370826195,-0.17819038602181322
14.255,-0.4970996081829071,-1.5,0.011504715660054577,-0.21950600129071984
14.365,-0.5,-1.5,-0.020707350728843315,-0.21430260268729623
14.455,-0.5,-1.5,-0.108767198246322,-0.44225460368117087
14.58,-0.5,-1.5,-0.09724643214885058,-0.6052967854037741
14.655,-0.5,-1.5,-0.15795333634844114,-0.752538704860411
14.755,-0.5,-1.5,-0.1609173426266326,-0.818638651513092
14.855,-0.5,-1.5,-0.20449911586416045,-0.9249366220999955
14.955,-0.5,-1.5,-0.22989828425160774,-1.000660314287048
15.055,-0.5,-1.5,-0.25816704828565723,-1.0239171477033577
15.155,-0.5,-1.5,-0.232515661258475,-0.9874171547857898
15.255,-0.5,-1.5,-0.2568937998819878,-0.9724779489815037
15.355,-0.5,-1.5,-0.27078219597773007,-0.9658072831760233
15.455,-0.5,-1.5,-0.27933935183995673,-0.9652427408145884
15.555,-0.5,-1.5,-0.2806423823844508,-0.9939666896667546
15.655,-0.5,-1.5,-0.3191133189526959,-1.0265126025174796
15.77,-0.5,-1.5,-0.2827874556749818,-0.9688322975226112
15.855,-0.5,-1.5,-0.25988776027781674,-0.9165330769214799
15.955,-0.5,-1.5,-0.3008200030172818,-0.9820615183444302
16.055,-0.5,-1.5,-0.2853641887356129,-0.9788796819799839
16.155,-0.5,-1.5,-0.29411436442429073,-0.8962635807391062
16.255,-0.5,-1.5,-0.30318537076487095,-0.9455885609388599
16.355,-0.5,-1.5,-0.29667921411315584,-0.9727190568971102
16.455,-0.5,-1.4609320163726807,-0.3219029672813693,-0.9682374397765466
16.555,-0.5,-1.296708106994629,-0.31967379485152053,-0.955802212842273
16.655,-0.5,-1.1275269985198975,-0.33779308495993415,-0.94920394461931
16.755,-0.5,0.03226809576153755,-0.3939704272709388,-0.9036409359138433
16.855,-0.5,0.23967233300209045,-0.43313527808017416,-0.9243544218369865
16.955,-0.5,0.48005399107933044,-0.4085117175696458,-0.691873164244392
17.095,-0.5,0.6872650980949402,-0.4770491439328029,-0.5307292941082499
17.16,-0.5,1.0833580493927002,-0.47259419411131903,-0.24635261029061284
17.265,-0.5,1.4577839374542236,-0.508101756895898,-0.06681332943522489
17.355,-0.5,1.5,-0.4806857136633442,0.17189790483016618
17.455,-0.3728363513946533,1.5,-0.4962279986254823,0.4076397680152928
17.565,0.13687551021575928,1.3858833312988281,-0.4496474209285899,0.6283877718544167
17.655,0.3104351758956909,1.3259272575378418,-0.4195694498157873,0.763501024050004
17.77,0.1764538288116455,1.476579189300537,-0.33118391206251496,0.8054902223372814
17.86,0.07458464056253433,0.9721333384513855,-0.2469100971823008,0.7620767820179037
17.955,0.11727917939424515,0.7679924964904785,-0.16128631847539918,0.6651062685400954
18.055,0.31377652287483215,0.42281588912010193,-0.08849331546704692,0.5297275369660007
18.155,0.3027323782444,0.16706541180610657,0.016813871837016985,0.37313916247083345
18.27,0.3655852675437927,0.03623856231570244,0.03488646587532667,0.42031817982465514
18.36,1.0,-0.3249744772911072,0.040122088720035594,0.29654713931570525
18.46,0.6673132181167603,-0.23286959528923035,0.10897825270217756,0.21408009142436876
18.56,0.9330654144287109,-0.2239704430103302,0.1853495255681288,0.4740160377520369
18.66,1.0,-0.4072795510292053,0.33133080949606664,0.5368466849332204
18.755,0.8365892767906189,-0.46322566270828247,0.3723025504703701,0.4903667997021627
18.87,0.8910167217254639,-0.688014805316925,0.4829088004613649,0.5044659340572869
18.995,0.7936499118804932,-0.9706006646156311,0.5517021426315198,0.3619882201309199
19.06,0.4618400037288666,-0.8870075345039368,0.5637931436886371,0.0015648231146624667
19.155,0.4891853630542755,-0.895442008972168,0.6005882739187703,-0.0031774043327075434
19.26,0.19385823607444763,-1.0319937467575073,0.5525647477172011,-0.31764002262102903
19.355,0.08633213490247726,-0.8546287417411804,0.5162826888106294,-0.49858777889180095
19.475,-0.5,-1.4210760593414307,0.3979998763436309,-0.5136294179162308
19.555,-0.5,-1.2370965480804443,0.09831881151705839,-0.44480003837440835
19.655,-0.5,-1.199600338935852,0.02580035149000251,-0.4308429364570374
19.755,-0.5,-1.0129514932632446,-0.1277236030986975,-0.20319070476373416
19.855,-0.5,-0.9245059490203857,-0.17202161338053332,-0.23430310912410643
19.955,-0.5,-0.7463662624359131,-0.22019923167726566,-0.22191889644638504
20.055,-0.5,-0.5766551494598389,-0.30573912459081326,-0.3740769371818307
20.155,-0.5,-0.4938690960407257,-0.3716159696596425,-0.4098774730158487
20.265,-0.5,-0.422928124666214,-0.4939818076778023,-0.5160190430091989
20.37,-0.5,-0.14257025718688965,-0.6151257291764067,-0.5086338834707944
20.455,-0.5,0.043386060744524,-0.5693742845317364,-0.4038595724533059
20.555,-0.5,0.5445351600646973,-0.5493291288228991,-0.3548509236486014
